date,value
4/19/2021 18:14,0.50
4/19/2021 18:16,0.50
4/19/2021 18:18,0.50
4/19/2021 18:20,0.33
4/19/2021 18:22,0.50
4/19/2021 18:24,0.33
4/19/2021 18:26,0.33
4/19/2021 18:28,0.50
4/19/2021 18:30,0.50
4/19/2021 18:32,0.50
4/19/2021 18:34,0.34
4/19/2021 18:36,0.33
4/19/2021 18:38,0.33
4/19/2021 18:40,0.34
4/19/2021 18:42,0.33
4/19/2021 18:44,0.33
4/19/2021 18:46,0.33
4/19/2021 18:48,0.50
4/19/2021 18:50,0.50
4/19/2021 18:52,0.50
4/19/2021 18:54,45.00
4/19/2021 18:56,58.33
4/19/2021 18:58,99.83
4/19/2021 19:00,64.17
4/19/2021 19:02,46.67
4/19/2021 19:04,45.93
4/19/2021 19:06,0.51
4/19/2021 19:08,0.33
4/19/2021 19:10,0.50
4/19/2021 19:12,0.50
4/19/2021 19:14,0.50
4/19/2021 19:16,0.50
4/19/2021 19:18,0.51
4/19/2021 19:20,0.48
4/19/2021 19:22,0.66
4/19/2021 19:25,47.05
4/19/2021 19:27,98.55
4/19/2021 19:29,73.11
4/19/2021 19:31,94.50
4/19/2021 19:33,99.67
4/19/2021 19:35,72.83
4/19/2021 19:37,26.44
4/19/2021 19:37,0.50
4/19/2021 19:39,0.34
4/19/2021 19:39,0.33
4/19/2021 19:41,0.50
4/19/2021 19:41,0.49
4/19/2021 19:43,0.67
4/19/2021 19:45,0.50
4/19/2021 19:47,0.50
4/19/2021 19:49,0.34
4/19/2021 19:51,0.34
4/19/2021 19:53,0.34
4/19/2021 19:55,0.34
4/19/2021 19:57,71.64
4/19/2021 19:59,74.58
4/19/2021 20:01,73.28
4/19/2021 20:03,73.00
4/19/2021 20:05,72.79
4/19/2021 20:07,23.33
4/19/2021 20:07,71.50
4/19/2021 20:09,0.33
4/19/2021 20:09,0.52
4/19/2021 20:11,0.33
4/19/2021 20:11,0.50
4/19/2021 20:13,1.67
4/19/2021 20:13,0.50
4/19/2021 20:15,0.51
4/19/2021 20:18,0.50
4/19/2021 20:20,55.50
4/19/2021 20:22,15.59
4/19/2021 20:24,0.50
4/19/2021 20:26,0.49
4/19/2021 20:28,74.83
4/19/2021 20:30,89.34
4/19/2021 20:32,89.83
4/19/2021 20:34,50.67
4/19/2021 20:36,0.49
4/19/2021 20:38,0.50
4/19/2021 20:38,0.49
4/19/2021 20:40,71.17
4/19/2021 20:40,48.85
4/19/2021 20:42,0.50
4/19/2021 20:42,0.51
4/19/2021 20:44,0.50
4/19/2021 20:44,0.49
4/19/2021 20:46,0.50
4/19/2021 20:46,0.33
4/19/2021 20:48,0.50
4/19/2021 20:52,0.50
4/19/2021 20:54,0.50
4/19/2021 20:56,5.25
4/19/2021 20:58,100.00
4/19/2021 21:00,98.69
4/19/2021 21:02,80.98
