date,value
04/21/2021 22:19:32,0.339
04/21/2021 22:21:34,49.3333
04/21/2021 22:23:36,79.8305
04/21/2021 22:25:37,64.4262
04/21/2021 22:27:39,0.4918
04/21/2021 22:29:41,0.5
04/21/2021 22:31:43,0.5
04/21/2021 22:33:45,0.3279
04/21/2021 22:35:47,15.7627
04/21/2021 22:37:51,100
04/21/2021 22:39:53,82.8333
04/21/2021 22:41:57,97.0492
04/21/2021 22:43:59,83.3333
04/21/2021 22:46:01,83.2258
04/21/2021 22:48:04,36.6667
04/21/2021 22:48:05,63.8983
04/21/2021 22:50:07,61.8333
04/21/2021 22:50:08,38.4746
04/21/2021 22:52:10,0.5085
04/21/2021 22:52:11,0.3333
04/21/2021 22:54:13,0.3333
04/21/2021 22:54:14,0.5
04/21/2021 22:56:16,0.339
04/21/2021 22:56:17,0.4918
04/21/2021 22:58:20,0.5
04/21/2021 23:02:23,0.5
04/21/2021 23:04:25,80.1695
04/21/2021 23:06:27,87.7966
04/21/2021 23:08:29,61.9672
04/21/2021 23:10:31,0.5085
04/21/2021 23:12:33,0.5
04/21/2021 23:14:35,0.5
04/21/2021 23:16:37,0.339
04/21/2021 23:18:39,0.5
04/21/2021 23:20:41,0.5
04/21/2021 23:22:43,0.5
04/21/2021 23:24:45,0.5
04/21/2021 23:26:46,32
04/21/2021 23:28:48,100
04/21/2021 23:30:50,96.6667
04/21/2021 23:32:52,84.6667
04/21/2021 23:34:54,99.5
04/21/2021 23:39:00,62.6667
04/21/2021 23:39:01,36.6667
04/21/2021 23:41:03,42
04/21/2021 23:41:04,62.8333
04/21/2021 23:43:06,64.4068
04/21/2021 23:43:07,37.2881
04/21/2021 23:45:09,11.8333
04/21/2021 23:45:10,87.541
04/21/2021 23:47:12,0.3333
04/21/2021 23:47:13,0.1695
04/21/2021 23:49:15,0.5
04/21/2021 23:49:16,0.339
04/21/2021 23:51:19,0.5
04/21/2021 23:53:21,0.5172
04/21/2021 23:55:23,0.5
04/21/2021 23:57:25,0.5085
04/21/2021 23:59:26,0.4918
04/22/2021 00:01:28,0.5
04/22/2021 00:03:31,0.5
04/22/2021 00:05:33,64.1667
04/22/2021 00:09:36,100
04/22/2021 00:11:40,85.0847
04/22/2021 00:13:42,99.8333
04/22/2021 00:15:44,85.3333
