date,value
04/23/2021 01:40:20,19.32
04/23/2021 01:42:21,79.712
04/23/2021 01:44:23,138.87
04/23/2021 01:46:25,15.848
04/23/2021 01:48:26,12.748
04/23/2021 01:50:28,12.688
04/23/2021 01:52:29,12.612
04/23/2021 01:54:31,12.688
04/23/2021 01:56:33,12.636
04/23/2021 01:58:34,15.189
04/23/2021 02:00:36,139.768
04/23/2021 02:02:38,75.058
04/23/2021 02:04:40,140.702
04/23/2021 02:06:41,128.998
04/23/2021 02:08:44,136.3
04/23/2021 02:10:46,74.166
04/23/2021 02:10:47,76.964
04/23/2021 02:12:49,74.242
04/23/2021 02:12:50,13.986
04/23/2021 02:14:52,12.764
04/23/2021 02:14:52,12.916
04/23/2021 02:16:55,12.612
04/23/2021 02:16:56,12.844
04/23/2021 02:18:58,12.916
04/23/2021 02:23:02,9.693
04/23/2021 02:25:04,94.617
04/23/2021 02:29:07,12.788
04/23/2021 02:31:08,12.888
04/23/2021 02:33:10,12.664
04/23/2021 02:35:12,12.688
04/23/2021 02:37:14,12.56
04/23/2021 02:39:16,12.712
04/23/2021 02:41:17,12.74
04/23/2021 02:43:19,12.664
04/23/2021 02:45:21,12.74
04/23/2021 02:47:22,77.974
04/23/2021 02:49:25,69.902
04/23/2021 02:51:26,13.67
04/23/2021 02:53:28,12.636
04/23/2021 02:55:29,16.369
04/23/2021 02:57:31,12.712
04/23/2021 02:59:33,12.712
04/23/2021 03:01:35,12.712
04/23/2021 03:03:36,12.712
04/23/2021 03:05:38,12.636
04/23/2021 03:07:40,71.346
04/23/2021 03:09:42,76.846
04/23/2021 03:11:44,74.116
04/23/2021 03:13:46,136.848
04/23/2021 03:15:48,143.199
04/23/2021 03:17:50,75.942
04/23/2021 03:17:51,72.02
04/23/2021 03:19:52,71.19
04/23/2021 03:19:53,78.87
04/23/2021 03:21:55,13.75
04/23/2021 03:21:55,12.916
04/23/2021 03:23:57,13.821
04/23/2021 03:23:57,14.046
04/23/2021 03:25:59,12.736
04/23/2021 03:26:00,12.969
04/23/2021 03:28:02,23.914
04/23/2021 03:32:05,11.999
04/23/2021 03:34:06,21.193
04/23/2021 03:36:08,73.538
04/23/2021 03:38:10,136.233
04/23/2021 03:40:12,79.184
04/23/2021 03:42:13,68.334
04/23/2021 03:44:16,79.193
04/23/2021 03:46:18,76.466
04/23/2021 03:46:19,13.08
04/23/2021 03:48:20,74.546
04/23/2021 03:48:22,79.463
04/23/2021 03:50:23,77.5
04/23/2021 03:50:24,73.916
04/23/2021 03:52:26,74.954
04/23/2021 03:52:26,73.098
04/23/2021 03:54:29,81.366
04/23/2021 03:54:30,21.574
04/23/2021 03:56:31,12.76
04/23/2021 03:56:32,15.562
04/23/2021 03:58:34,32.718
04/23/2021 03:58:35,12.888
04/23/2021 04:00:37,46.717
04/23/2021 04:00:37,15.185
04/23/2021 04:02:40,12.864
04/23/2021 04:04:41,12.697
04/23/2021 04:08:44,13.821
04/23/2021 04:10:45,17.297
04/23/2021 04:12:47,13.61
04/23/2021 04:14:51,143.66
04/23/2021 04:16:52,76.973
04/23/2021 04:18:54,137.184
04/23/2021 04:20:56,140.574
04/23/2021 04:22:59,130.212
04/23/2021 04:25:01,80.364
04/23/2021 04:25:01,72.296
04/23/2021 04:27:03,74.024
04/23/2021 04:27:04,78.72
04/23/2021 04:29:06,81.339
