date,value
05/01/2021 03:35:48,14.344
05/01/2021 03:36:50,15.772
05/01/2021 03:37:52,15.772
05/01/2021 03:38:55,14.434
05/01/2021 03:39:59,14.434
05/01/2021 03:41:02,21.456
05/01/2021 03:42:06,20.889
05/01/2021 03:43:11,18.856
05/01/2021 03:44:16,17.814
05/01/2021 03:45:21,21.29
05/01/2021 03:50:36,14.108
05/01/2021 03:50:37,14.312
05/01/2021 03:51:42,14.108
05/01/2021 03:51:43,14.114
05/01/2021 03:52:49,14.108
05/01/2021 03:52:49,14.114
05/01/2021 03:58:07,14.312
05/01/2021 03:59:18,19.11
05/01/2021 04:00:26,19.11
05/01/2021 04:01:34,22.187
05/01/2021 04:02:44,22.187
05/01/2021 04:08:00,17.35
05/01/2021 04:08:01,13.975
05/01/2021 04:09:27,17.763
05/01/2021 04:09:28,19.635
05/01/2021 04:10:38,15.824
05/01/2021 04:10:39,18.644
05/01/2021 04:11:49,14.048
05/01/2021 04:11:49,13.972
05/01/2021 04:13:03,18.167
05/01/2021 04:13:04,11.81
05/01/2021 04:18:21,14.17
05/01/2021 04:19:28,14.17
05/01/2021 04:20:34,17.678
05/01/2021 04:21:44,14.484
05/01/2021 04:22:50,14.18
05/01/2021 04:23:57,13.916
05/01/2021 04:25:03,18.047
05/01/2021 04:26:09,16.022
05/01/2021 04:27:16,19.18
05/01/2021 04:28:27,15.556
05/01/2021 04:29:34,15.608
05/01/2021 04:30:40,12.588
05/01/2021 04:31:47,15.466
05/01/2021 04:32:54,14.08
05/01/2021 04:34:01,15.435
05/01/2021 04:35:09,13.844
05/01/2021 04:36:16,14.306
05/01/2021 04:37:24,13.958
05/01/2021 04:38:31,13.91
05/01/2021 04:39:39,13.976
05/01/2021 04:40:45,15.116
05/01/2021 04:41:53,13.796
05/01/2021 04:43:02,11.031
05/01/2021 04:44:11,19.553
05/01/2021 04:48:40,20.763
05/01/2021 04:49:52,20.097
05/01/2021 04:51:01,18.901
05/01/2021 04:52:11,21.828
05/01/2021 04:53:21,18.991
05/01/2021 04:54:29,13.186
05/01/2021 04:56:46,21.66
05/01/2021 04:57:53,17.591
05/01/2021 04:59:02,21.854
05/01/2021 05:00:10,19.492
05/01/2021 05:01:20,15.536
05/01/2021 05:02:28,15.279
05/01/2021 05:03:35,13.678
05/01/2021 05:04:43,13.588
05/01/2021 05:05:51,13.966
05/01/2021 05:07:02,13.802
05/01/2021 05:08:10,14.722
05/01/2021 05:09:18,12.842
05/01/2021 05:10:30,13.646
05/01/2021 05:11:38,13.738
05/01/2021 05:12:46,13.334
05/01/2021 05:13:59,13.876
05/01/2021 05:15:07,13.744
05/01/2021 05:16:16,16.262
05/01/2021 05:17:25,13.886
05/01/2021 05:18:33,13.744
05/01/2021 05:19:42,13.95
05/01/2021 05:20:51,14.689
05/01/2021 05:22:05,20.584
05/01/2021 05:23:17,19.58
05/01/2021 05:24:25,20.72
05/01/2021 05:25:34,20.936
05/01/2021 05:26:50,19.662
05/01/2021 05:28:00,19.66
05/01/2021 05:29:13,19.416
05/01/2021 05:30:24,17.633
05/01/2021 05:31:37,18.471
05/01/2021 05:32:52,14.438
05/01/2021 05:34:06,23.298
05/01/2021 05:35:20,18.039
05/01/2021 05:36:34,16.15
05/01/2021 05:37:44,13.82
05/01/2021 05:38:55,14.008
05/01/2021 05:40:09,16.657
05/01/2021 05:41:20,13.678
05/01/2021 05:42:35,13.852
05/01/2021 05:43:47,13.556
05/01/2021 05:44:58,13.862
05/01/2021 05:46:14,13.876
05/01/2021 05:47:25,13.886
05/01/2021 05:48:42,15.401
05/01/2021 05:49:54,17.46
05/01/2021 05:51:06,15.723
05/01/2021 05:52:18,20.933
05/01/2021 05:53:31,14.852
05/01/2021 05:54:50,18.833
05/01/2021 05:56:02,35.873
05/01/2021 05:57:23,28.306
05/01/2021 05:58:35,15.57
05/01/2021 05:59:45,23.031
05/01/2021 06:00:55,20.637
05/01/2021 06:02:23,16.578
05/01/2021 06:03:39,13.588
05/01/2021 06:04:56,14.084
05/01/2021 06:06:14,13.466
05/01/2021 06:07:31,13.942
05/01/2021 06:08:49,14.222
05/01/2021 06:10:16,13.966
05/01/2021 06:11:33,13.556
05/01/2021 06:12:52,14.844
05/01/2021 06:14:09,20.732
05/01/2021 06:15:34,18.335
05/01/2021 06:16:59,20.084
05/01/2021 06:18:25,21.21
05/01/2021 06:24:01,16.014
05/01/2021 06:24:02,
05/01/2021 06:25:28,15.18
05/01/2021 06:25:29,14.444
05/01/2021 06:26:57,14.524
05/01/2021 06:26:58,15.684
05/01/2021 06:32:30,14.246
05/01/2021 06:34:01,
05/01/2021 06:35:31,14.312
05/01/2021 06:37:00,
05/01/2021 06:38:30,14.048
05/01/2021 06:39:56,12.499
05/01/2021 06:41:31,24.848
05/01/2021 06:43:03,15.022
05/01/2021 06:44:29,22.073
05/01/2021 06:45:59,19.335
05/01/2021 06:51:48,13.598
05/01/2021 06:51:49,12.832
05/01/2021 06:53:22,14.056
05/01/2021 06:53:23,14.17
05/01/2021 06:54:50,13.976
05/01/2021 06:54:50,15.74
05/01/2021 07:00:24,14.114
05/01/2021 07:01:53,14.18
05/01/2021 07:03:21,14.188
05/01/2021 07:06:21,14.396
05/01/2021 07:07:52,15.917
05/01/2021 07:09:26,13.754
05/01/2021 07:11:02,13.844
05/01/2021 07:12:28,14.156
05/01/2021 07:13:51,10.853
05/01/2021 07:15:24,13.952
05/01/2021 07:16:40,14.074
05/01/2021 07:18:04,13.952
05/01/2021 07:19:29,14.544
05/01/2021 07:20:47,14.008
