date,value
05/30/2021 23:15:03,25.272
05/30/2021 23:16:14,27.812
05/30/2021 23:17:27,25.524
05/30/2021 23:18:38,27.892
05/30/2021 23:19:50,29.129
05/30/2021 23:21:02,25.272
05/30/2021 23:22:14,25.624
05/30/2021 23:23:26,23.143
05/30/2021 23:24:38,73.185
05/30/2021 23:25:50,93.404
05/30/2021 23:27:03,25.48
05/30/2021 23:28:15,23.324
05/30/2021 23:29:28,26.454
05/30/2021 23:30:40,18.123
05/30/2021 23:31:52,26.123
05/30/2021 23:33:04,25.328
05/30/2021 23:34:15,25.472
05/30/2021 23:35:27,25.348
05/30/2021 23:36:40,19.356
05/30/2021 23:37:51,93.581
05/30/2021 23:39:03,173.69
05/30/2021 23:40:15,160.152
05/30/2021 23:41:27,85.108
05/30/2021 23:42:39,161.756
05/30/2021 23:43:53,233.874
05/30/2021 23:45:07,1594.062
05/30/2021 23:46:21,94.578
05/30/2021 23:47:36,95.516
05/30/2021 23:48:55,94.875
05/30/2021 23:50:15,372.3446666666666
05/30/2021 23:51:33,69.93433333333333
05/30/2021 23:52:55,99.231
05/30/2021 23:54:20,577.4212500000001
05/30/2021 23:55:44,62.46125
05/30/2021 23:57:10,71.507
05/30/2021 23:58:37,204.9166
05/31/2021 00:00:04,25.6508
05/31/2021 00:01:32,26.3092
05/31/2021 00:03:00,25.7504
05/31/2021 00:04:30,37.045
05/31/2021 00:05:58,40.6894
05/31/2021 00:07:25,39.17975
05/31/2021 00:08:53,38.53874999999999
05/31/2021 00:10:08,39.23824999999999
05/31/2021 00:11:31,38.76533333333333
05/31/2021 00:12:55,39.95566666666667
05/31/2021 00:14:19,39.47566666666667
05/31/2021 00:15:34,37.532
05/31/2021 00:16:53,37.532
05/31/2021 00:18:01,30.157
05/31/2021 00:19:17,178.0055
05/31/2021 00:20:32,106.58
05/31/2021 00:21:49,108.6185
05/31/2021 00:23:06,173.736
05/31/2021 00:24:21,142.3135
05/31/2021 00:25:42,66.903
05/31/2021 00:26:57,111.165
05/31/2021 00:28:13,119.343
05/31/2021 00:29:29,144.5755
05/31/2021 00:30:44,144.7615
05/31/2021 00:32:00,107.891
05/31/2021 00:33:15,140.0455
05/31/2021 00:34:31,37.576
05/31/2021 00:35:46,139.7185
05/31/2021 00:37:02,110.06
05/31/2021 00:38:17,72.106
05/31/2021 00:39:33,57.765
05/31/2021 00:40:49,58.0745
05/31/2021 00:42:04,42.058
05/31/2021 00:43:19,37.6
05/31/2021 00:44:36,37.676
05/31/2021 00:45:51,37.676
05/31/2021 00:46:59,38.945
05/31/2021 00:48:12,37.68
05/31/2021 00:49:25,41.155
05/31/2021 00:50:36,41.312
05/31/2021 00:51:48,38.547
05/31/2021 00:53:00,37.52
05/31/2021 00:54:12,39.668
05/31/2021 00:55:24,36.254
05/31/2021 00:56:36,38.746
05/31/2021 00:57:48,35.809
05/31/2021 00:59:00,176.11
05/31/2021 01:00:12,25.83
05/31/2021 01:01:24,175.238
05/31/2021 01:03:48,173.876
05/31/2021 01:04:59,106.237
05/31/2021 01:06:11,308.462
05/31/2021 01:08:35,179.765
05/31/2021 01:09:47,110.229
05/31/2021 01:10:59,172.34
05/31/2021 01:12:12,308.482
05/31/2021 01:13:25,104.864
05/31/2021 01:14:37,239.601
05/31/2021 01:15:49,171.668
05/31/2021 01:17:01,174.164
05/31/2021 01:18:13,175.47
05/31/2021 01:19:25,178.923
05/31/2021 01:20:36,110.377
05/31/2021 01:21:48,37.871
05/31/2021 01:23:00,36.674
05/31/2021 01:24:12,37.32
05/31/2021 01:25:24,38.566
05/31/2021 01:26:36,40.029
05/31/2021 01:27:48,39.825
05/31/2021 01:28:59,37.32
05/31/2021 01:30:13,38.318
05/31/2021 01:31:24,38.011
05/31/2021 01:32:37,36.889
05/31/2021 01:33:49,33.843
05/31/2021 01:35:01,26.166
05/31/2021 01:36:13,26.644
05/31/2021 01:37:25,25.357
05/31/2021 01:38:37,25.244
05/31/2021 01:39:49,98.869
05/31/2021 01:41:01,30.91
05/31/2021 01:42:13,160.818
05/31/2021 01:43:24,159.572
05/31/2021 01:44:37,94.851
05/31/2021 01:45:49,165.685
05/31/2021 01:48:13,293.224
05/31/2021 01:49:25,161.817
05/31/2021 01:50:37,87.176
05/31/2021 01:51:49,185.52
05/31/2021 01:53:00,11.868
05/31/2021 01:54:13,293.08
05/31/2021 01:55:25,160.072
05/31/2021 01:56:36,93.376
05/31/2021 01:57:50,164.367
05/31/2021 01:59:04,163.44
05/31/2021 02:00:20,488.513
05/31/2021 02:01:37,25.528
05/31/2021 02:02:53,25.2545
05/31/2021 02:04:08,27.423
05/31/2021 02:05:24,30.1785
05/31/2021 02:06:40,26.5505
05/31/2021 02:07:55,26.325
05/31/2021 02:09:11,25.776
05/31/2021 02:11:33,37.311
05/31/2021 02:12:45,28.329
05/31/2021 02:14:01,27.756
05/31/2021 02:15:15,25.904
05/31/2021 02:16:28,25.492
05/31/2021 02:17:39,25.448
05/31/2021 02:18:52,25.524
05/31/2021 02:20:04,15.586
05/31/2021 02:21:15,99.202
05/31/2021 02:22:27,161.462
05/31/2021 02:23:39,157.263
05/31/2021 02:24:51,164.054
05/31/2021 02:26:04,164.778
05/31/2021 02:27:16,159.657
05/31/2021 02:28:30,156.837
05/31/2021 02:29:42,94.313
05/31/2021 02:30:54,92.102
05/31/2021 02:32:06,160.592
05/31/2021 02:33:19,158.716
05/31/2021 02:34:30,158.864
05/31/2021 02:35:46,162.714
05/31/2021 02:37:02,155.164
05/31/2021 02:38:16,64.5425
05/31/2021 02:39:34,24.991
05/31/2021 02:40:53,27.2995
05/31/2021 02:42:11,26.181
05/31/2021 02:43:31,26.55866666666667
05/31/2021 02:44:50,25.75566666666667
05/31/2021 02:46:08,27.712
05/31/2021 02:47:27,27.01133333333333
05/31/2021 02:48:47,28.118
05/31/2021 02:50:06,26.612
05/31/2021 02:51:24,26.612
05/31/2021 02:52:33,25.652
05/31/2021 02:53:49,26.327
05/31/2021 02:55:03,31.728
05/31/2021 02:56:18,23.793
05/31/2021 02:57:32,23.793
05/31/2021 02:58:38,164.288
05/31/2021 02:59:49,164.7
05/31/2021 03:00:59,161.344
05/31/2021 03:02:10,159.282
05/31/2021 03:03:25,160.487
05/31/2021 03:04:39,95.871
05/31/2021 03:05:54,448.03
05/31/2021 03:07:10,21.693
05/31/2021 03:08:28,159.139
05/31/2021 03:09:46,275.7326666666667
05/31/2021 03:11:05,66.53
05/31/2021 03:12:29,98.28466666666667
05/31/2021 03:13:53,1134.92
05/31/2021 03:15:15,44.05275
05/31/2021 03:16:38,43.98675
05/31/2021 03:18:00,27.4475
05/31/2021 03:19:22,27.9855
05/31/2021 03:20:45,25.851
05/31/2021 03:22:09,25.1885
05/31/2021 03:23:32,27.3035
05/31/2021 03:24:55,27.40833333333333
05/31/2021 03:26:19,26.89833333333333
05/31/2021 03:27:42,26.89833333333333
05/31/2021 03:28:51,25.516
05/31/2021 03:30:08,25.516
05/31/2021 03:31:15,26.346
05/31/2021 03:32:29,25.352
05/31/2021 03:33:43,25.352
05/31/2021 03:34:50,26.765
05/31/2021 03:36:01,25.624
05/31/2021 03:37:12,22.794
05/31/2021 03:38:24,162.956
05/31/2021 03:39:35,163.165
05/31/2021 03:40:48,162.64
05/31/2021 03:41:59,90.91
05/31/2021 03:43:11,160.48
05/31/2021 03:44:23,233.077
05/31/2021 03:45:35,159.294
05/31/2021 03:46:49,90.332
05/31/2021 03:48:05,294.312
05/31/2021 03:49:20,30.978
05/31/2021 03:50:38,91.9265
05/31/2021 03:51:56,96.3555
05/31/2021 03:53:14,69.49466666666667
05/31/2021 03:54:33,69.33733333333333
05/31/2021 03:55:56,69.36433333333333
05/31/2021 03:57:22,284.19275
05/31/2021 03:58:46,25.49625
05/31/2021 04:00:08,25.52925
05/31/2021 04:01:31,26.3715
05/31/2021 04:02:54,25.97825
05/31/2021 04:04:18,25.605
05/31/2021 04:05:40,25.79775
05/31/2021 04:07:04,29.54466666666667
05/31/2021 04:08:27,29.54466666666667
05/31/2021 04:09:38,26.758
05/31/2021 04:10:56,26.9175
05/31/2021 04:12:14,26.9175
05/31/2021 04:13:23,24.875
05/31/2021 04:14:38,24.45
05/31/2021 04:15:54,26.023
05/31/2021 04:17:08,26.023
05/31/2021 04:18:15,160.756
05/31/2021 04:19:25,157.862
05/31/2021 04:20:37,161.795
05/31/2021 04:21:51,92.699
05/31/2021 04:23:06,163.608
05/31/2021 04:24:21,58.68300000000001
05/31/2021 04:25:39,131.4545
05/31/2021 04:26:57,94.993
05/31/2021 04:28:16,115.4146666666667
05/31/2021 04:29:38,70.32566666666666
05/31/2021 04:31:00,370.5725
05/31/2021 04:32:22,76.44175
05/31/2021 04:33:48,60.1865
05/31/2021 04:35:14,163.3504
05/31/2021 04:36:41,71.0864
05/31/2021 04:38:09,53.34
05/31/2021 04:39:35,25.50559999999999
05/31/2021 04:41:01,26.9648
05/31/2021 04:42:28,27.665
05/31/2021 04:43:56,26.721
05/31/2021 04:45:23,27.05125
05/31/2021 04:46:49,26.0155
05/31/2021 04:48:15,26.0155
05/31/2021 04:49:26,26.03666666666667
05/31/2021 04:50:36,28.03866666666667
05/31/2021 04:51:54,25.68
05/31/2021 04:53:13,25.68
05/31/2021 04:54:22,26.9165
05/31/2021 04:55:38,25.676
05/31/2021 04:56:54,25.852
05/31/2021 04:58:09,25.852
05/31/2021 04:59:17,165.918
05/31/2021 05:00:29,161.882
05/31/2021 05:01:41,158.926
05/31/2021 05:02:52,159.588
05/31/2021 05:04:03,161.668
05/31/2021 05:05:15,87.388
05/31/2021 05:06:27,156.041
05/31/2021 05:07:39,160
05/31/2021 05:08:51,161.358
05/31/2021 05:10:06,161.254
05/31/2021 05:11:22,806.062
05/31/2021 05:12:37,95.824
05/31/2021 05:13:52,93.1115
05/31/2021 05:15:07,93.72999999999999
05/31/2021 05:16:25,94.44
05/31/2021 05:17:43,93.9115
05/31/2021 05:19:01,28.63799999999999
05/31/2021 05:20:21,26.50766666666667
05/31/2021 05:21:45,26.44033333333333
05/31/2021 05:23:09,25.73
05/31/2021 05:24:30,27.81775
05/31/2021 05:25:53,26.15725
05/31/2021 05:27:15,25.26925
05/31/2021 05:28:38,26.6395
05/31/2021 05:30:03,40.3665
05/31/2021 05:31:27,26.02733333333333
05/31/2021 05:32:48,25.99133333333333
05/31/2021 05:34:02,25.60133333333333
05/31/2021 05:35:20,25.65
05/31/2021 05:36:37,25.602
05/31/2021 05:37:49,22.268
05/31/2021 05:39:04,155.878
05/31/2021 05:40:19,62.038
05/31/2021 05:41:33,95.294
05/31/2021 05:42:47,91.535
05/31/2021 05:44:02,158.714
05/31/2021 05:45:17,29.689
05/31/2021 05:46:33,94.6325
05/31/2021 05:47:49,161.376
05/31/2021 05:49:05,93.86699999999999
05/31/2021 05:50:20,91.5665
05/31/2021 05:51:36,91.40899999999999
05/31/2021 05:52:52,93.313
05/31/2021 05:54:08,160.96
05/31/2021 05:55:23,93.75399999999999
05/31/2021 05:56:38,93.60400000000001
05/31/2021 05:57:54,92.261
05/31/2021 05:59:09,25.457
05/31/2021 06:00:25,26.859
05/31/2021 06:01:41,28.5785
05/31/2021 06:02:56,53.578
05/31/2021 06:04:11,61.66
05/31/2021 06:05:24,56.56
05/31/2021 06:06:35,58.367
05/31/2021 06:07:46,62.833
05/31/2021 06:08:56,66.721
05/31/2021 06:10:07,64.574
05/31/2021 06:11:18,63.326
05/31/2021 06:12:29,62.968
05/31/2021 06:13:40,74.92
05/31/2021 06:14:51,72.048
05/31/2021 06:16:03,56.682
