date,value
05/31/2021 19:14:43,56.977
05/31/2021 19:15:54,53.99
05/31/2021 19:17:05,51.684
05/31/2021 19:18:17,47.96
05/31/2021 19:19:29,56.465
05/31/2021 19:20:41,60.47
05/31/2021 19:21:54,60.337
05/31/2021 19:23:09,51.468
05/31/2021 19:24:22,47.932
05/31/2021 19:25:35,47.984
05/31/2021 19:26:50,50.013
05/31/2021 19:28:05,48.79
05/31/2021 19:29:23,57.569
05/31/2021 19:30:38,58.877
05/31/2021 19:31:53,49.4
05/31/2021 19:33:07,47.856
05/31/2021 19:34:22,56.399
05/31/2021 19:35:36,59.394
05/31/2021 19:36:49,62.341
05/31/2021 19:38:02,78.294
05/31/2021 19:39:15,63.09
05/31/2021 19:40:29,55.117
05/31/2021 19:41:43,61.771
05/31/2021 19:42:55,69.606
05/31/2021 19:44:07,61.142
05/31/2021 19:45:21,70.099
05/31/2021 19:46:34,68.044
05/31/2021 19:47:47,56.393
05/31/2021 19:49:00,63.928
05/31/2021 19:50:13,60.132
05/31/2021 19:51:28,58.512
05/31/2021 19:52:41,60.32
05/31/2021 19:53:55,70.195
05/31/2021 19:55:10,58.852
05/31/2021 19:56:25,50.151
05/31/2021 19:57:42,55.44
05/31/2021 19:58:56,57.896
05/31/2021 20:00:10,54.696
05/31/2021 20:01:24,46.228
05/31/2021 20:02:38,48.06
05/31/2021 20:03:51,48.008
05/31/2021 20:05:06,47.856
05/31/2021 20:06:20,47.932
05/31/2021 20:07:33,48.008
05/31/2021 20:08:48,49.217
05/31/2021 20:10:02,47.96
05/31/2021 20:11:22,59.487
05/31/2021 20:12:37,59.87
05/31/2021 20:13:51,59.113
05/31/2021 20:15:05,56.336
05/31/2021 20:16:19,57.193
05/31/2021 20:17:33,59.072
05/31/2021 20:18:46,57.269
05/31/2021 20:20:01,65.488
05/31/2021 20:21:15,69.702
05/31/2021 20:22:28,67.359
05/31/2021 20:23:42,66.634
05/31/2021 20:24:56,67.552
05/31/2021 20:26:10,72.432
05/31/2021 20:27:30,57.849
05/31/2021 20:28:43,57.389
05/31/2021 20:29:56,58.51
05/31/2021 20:31:11,60.522
05/31/2021 20:32:25,58.033
05/31/2021 20:33:40,66.5
05/31/2021 20:35:11,58.956
05/31/2021 20:36:27,56.544
05/31/2021 20:37:53,60.594
05/31/2021 20:39:24,52.108
05/31/2021 20:40:52,47.96
05/31/2021 20:42:05,72.634
05/31/2021 20:43:37,51.799
05/31/2021 20:45:09,47.912
05/31/2021 20:46:26,50.382
05/31/2021 20:47:42,48.46
05/31/2021 20:48:59,49.246
05/31/2021 20:50:17,48.056
05/31/2021 20:51:35,47.96
05/31/2021 20:52:53,48.717
05/31/2021 20:54:11,51.104
05/31/2021 20:55:29,54.669
05/31/2021 20:56:44,59.708
05/31/2021 20:57:58,59.034
05/31/2021 20:59:11,59.46
05/31/2021 21:00:25,56.651
05/31/2021 21:01:39,57.189
05/31/2021 21:02:55,57.601
05/31/2021 21:04:15,69.32
05/31/2021 21:05:34,63.198
05/31/2021 21:06:49,60.037
05/31/2021 21:08:06,56.848
05/31/2021 21:09:24,57.473
05/31/2021 21:10:41,57.497
05/31/2021 21:12:18,55.594
05/31/2021 21:13:53,63.336
05/31/2021 21:15:09,71.814
05/31/2021 21:16:25,52.499
05/31/2021 21:17:42,56.428
05/31/2021 21:18:58,60.449
05/31/2021 21:20:14,53.634
05/31/2021 21:21:29,66.127
05/31/2021 21:22:58,60.312
05/31/2021 21:24:52,60.822
05/31/2021 21:26:01,61.594
05/31/2021 21:28:00,54.178
05/31/2021 21:29:54,55.347
05/31/2021 21:31:53,68.606
05/31/2021 21:33:48,51.77
05/31/2021 21:35:09,57.026
05/31/2021 21:36:30,59.125
05/31/2021 21:37:55,59.565
05/31/2021 21:39:18,64.324
05/31/2021 21:40:42,64.817
05/31/2021 21:42:06,67.518
05/31/2021 21:43:30,60.574
05/31/2021 21:44:55,65.906
05/31/2021 21:46:15,62.958
05/31/2021 21:47:38,63.962
05/31/2021 21:48:58,57.633
05/31/2021 21:50:18,60.944
05/31/2021 21:51:41,61.642
05/31/2021 21:53:01,61.568
05/31/2021 21:54:20,81.561
05/31/2021 21:55:44,67.173
05/31/2021 21:57:12,71.316
05/31/2021 21:58:33,50.624
05/31/2021 21:59:46,48.012
05/31/2021 22:00:55,48.104
05/31/2021 22:02:03,47.856
05/31/2021 22:04:02,66.978
05/31/2021 22:05:55,49.753
05/31/2021 22:07:52,50.641
05/31/2021 22:09:19,48.012
05/31/2021 22:10:40,48.012
05/31/2021 22:12:02,48.112
05/31/2021 22:14:00,48.168
05/31/2021 22:15:57,127.549
05/31/2021 22:17:09,51.208
05/31/2021 22:18:33,57.108
05/31/2021 22:19:58,60.036
05/31/2021 22:21:32,60.735
05/31/2021 22:22:57,61.583
05/31/2021 22:24:19,67.434
05/31/2021 22:25:42,56.72
05/31/2021 22:27:12,59.436
05/31/2021 22:28:37,59.788
05/31/2021 22:29:59,64.721
05/31/2021 22:31:25,58.799
05/31/2021 22:32:46,58.386
05/31/2021 22:34:07,64.908
05/31/2021 22:35:28,61.484
05/31/2021 22:36:49,65.612
05/31/2021 22:38:08,50.832
05/31/2021 22:39:26,56.771
05/31/2021 22:40:44,48.304
05/31/2021 22:42:09,48.056
05/31/2021 22:43:31,65.427
05/31/2021 22:44:53,65.403
05/31/2021 22:46:13,48.16
05/31/2021 22:47:34,49.493
05/31/2021 22:48:57,52.169
05/31/2021 22:50:23,61.275
05/31/2021 22:51:45,58.615
05/31/2021 22:53:06,55.848
05/31/2021 22:54:26,48.889
05/31/2021 22:55:46,50.977
05/31/2021 22:57:07,144.99
05/31/2021 22:58:18,129.71
05/31/2021 22:59:31,56.716
05/31/2021 23:00:46,55.063
05/31/2021 23:02:03,60.57
05/31/2021 23:03:19,70.174
05/31/2021 23:04:34,63.244
05/31/2021 23:05:48,59.173
05/31/2021 23:07:03,55.558
05/31/2021 23:08:21,58.786
05/31/2021 23:09:37,61.121
05/31/2021 23:10:52,62.608
05/31/2021 23:12:08,59.556
05/31/2021 23:13:25,59.865
05/31/2021 23:14:40,56.704
05/31/2021 23:15:56,65.23
05/31/2021 23:17:11,58.064
05/31/2021 23:18:32,52.984
05/31/2021 23:19:47,57.625
05/31/2021 23:21:04,50.824
05/31/2021 23:22:21,48.61
05/31/2021 23:23:37,55.507
05/31/2021 23:24:57,58.849
05/31/2021 23:26:13,47.864
05/31/2021 23:27:29,48.3
05/31/2021 23:28:47,48.3
05/31/2021 23:30:13,50.034
05/31/2021 23:31:31,50.597
05/31/2021 23:32:51,57.31
05/31/2021 23:34:08,53.344
05/31/2021 23:35:24,77.006
05/31/2021 23:36:44,148.062
05/31/2021 23:38:01,57.978
05/31/2021 23:39:19,60.128
05/31/2021 23:40:37,58.776
05/31/2021 23:41:55,60.215
05/31/2021 23:43:11,54.424
05/31/2021 23:44:28,60.305
05/31/2021 23:45:50,57.062
05/31/2021 23:47:10,59.068
05/31/2021 23:48:28,70.147
05/31/2021 23:49:45,63.084
05/31/2021 23:51:02,57.038
05/31/2021 23:52:20,57.453
05/31/2021 23:53:39,59.324
05/31/2021 23:54:54,61.335
05/31/2021 23:56:10,57.426
05/31/2021 23:57:29,64.97
05/31/2021 23:58:47,51.351
06/01/2021 00:00:04,50.33
06/01/2021 00:01:22,52.269
06/01/2021 00:02:45,57.545
06/01/2021 00:04:05,50.68
06/01/2021 00:05:28,55.484
06/01/2021 00:06:46,58.91
