date,value
04/25/2021 02:02:44,0.3333
04/25/2021 02:04:45,0.3333
04/25/2021 02:04:55,0.3333
04/25/2021 02:06:47,0.3333
04/25/2021 02:08:50,99.3333
04/25/2021 02:10:53,98.3607
04/25/2021 02:11:37,98.3607
04/25/2021 02:13:40,80.3333
04/25/2021 02:15:44,83.3898
04/25/2021 02:17:48,98.5
04/25/2021 02:19:54,25
04/25/2021 02:21:58,0.339
04/25/2021 02:21:59,0.6667
04/25/2021 02:24:04,0.1695
04/25/2021 02:24:05,0.6452
04/25/2021 02:26:10,0.339
04/25/2021 02:26:12,0.5
04/25/2021 02:28:30,0.4839
04/25/2021 02:32:38,62
04/25/2021 02:36:53,91.3115
04/25/2021 02:39:00,83
04/25/2021 02:41:07,80.5
04/25/2021 02:43:15,0.6667
04/25/2021 02:45:23,0.5
04/25/2021 02:47:32,0.3333
04/25/2021 02:47:32,0.678
04/25/2021 02:49:37,0.6557
04/25/2021 02:49:38,0.5
04/25/2021 02:51:42,0.5085
04/25/2021 02:51:43,0.5085
04/25/2021 02:53:48,41.1475
04/25/2021 02:57:57,92.6667
04/25/2021 03:00:05,100
04/25/2021 03:02:11,82.5
04/25/2021 03:06:23,18.4746
04/25/2021 03:08:31,24.5
04/25/2021 03:08:31,0.6667
04/25/2021 03:10:38,0.5
04/25/2021 03:10:38,0.678
04/25/2021 03:12:48,0.5085
04/25/2021 03:12:49,0.6667
04/25/2021 03:14:58,0.5085
04/25/2021 03:19:11,0.5085
04/25/2021 03:21:17,80.1639
04/25/2021 03:23:23,89.5082
04/25/2021 03:25:30,82
04/25/2021 03:27:40,99.5
04/25/2021 03:31:59,62.3333
04/25/2021 03:34:11,0.5
04/25/2021 03:34:11,0.6667
04/25/2021 03:36:25,0.5
04/25/2021 03:36:26,0.6667
04/25/2021 03:38:39,0.5085
04/25/2021 03:38:40,0.5
04/25/2021 03:40:54,0.5085
04/25/2021 03:45:21,0.6452
04/25/2021 03:47:35,0.5085
04/25/2021 03:49:47,0.5
04/25/2021 03:51:59,0.5172
04/25/2021 03:54:11,91.1864
04/25/2021 03:56:21,88.7097
04/25/2021 03:58:35,0.5085
04/25/2021 04:00:51,0.5
04/25/2021 04:03:06,0.5085
04/25/2021 04:05:19,0.5
04/25/2021 04:07:31,0.6557
04/25/2021 04:09:44,0.5085
04/25/2021 04:11:57,83.2258
04/25/2021 04:14:11,100
04/25/2021 04:16:33,100
04/25/2021 04:18:56,83.7705
04/25/2021 04:21:15,100
04/25/2021 04:23:27,64.0678
04/25/2021 04:23:28,38.6667
04/25/2021 04:25:45,0.5
04/25/2021 04:25:46,0.3333
04/25/2021 04:27:59,0.6557
04/25/2021 04:28:00,0.1667
04/25/2021 04:30:13,0.5
04/25/2021 04:30:14,0.3279
04/25/2021 04:32:28,0.5
04/25/2021 04:34:47,0.6667
