date,value
04/25/2021 02:02:44,13.83
04/25/2021 02:04:45,20.199
04/25/2021 02:04:55,20.199
04/25/2021 02:06:47,17.483
04/25/2021 02:08:50,76.778
04/25/2021 02:10:53,136.94
04/25/2021 02:11:37,70.002
04/25/2021 02:13:40,137.613
04/25/2021 02:15:44,77.332
04/25/2021 02:17:48,136.632
04/25/2021 02:19:54,78.532
04/25/2021 02:21:58,16.118
04/25/2021 02:21:59,12.944
04/25/2021 02:24:04,12.736
04/25/2021 02:24:05,15.649
04/25/2021 02:26:10,12.66
04/25/2021 02:26:12,12.992
04/25/2021 02:28:30,12.964
04/25/2021 02:32:38,74.128
04/25/2021 02:36:53,134.03
04/25/2021 02:39:00,136.756
04/25/2021 02:41:07,140.822
04/25/2021 02:43:15,15.139
04/25/2021 02:45:23,12.908
04/25/2021 02:47:32,12.588
04/25/2021 02:47:32,13.048
04/25/2021 02:49:37,15.601
04/25/2021 02:49:38,13.93
04/25/2021 02:51:42,12.812
04/25/2021 02:51:43,12.864
04/25/2021 02:53:48,12.74
04/25/2021 02:57:57,78.554
04/25/2021 03:00:05,69.898
04/25/2021 03:02:11,76.288
04/25/2021 03:06:23,76.597
04/25/2021 03:08:31,14.876
04/25/2021 03:08:31,12.92
04/25/2021 03:10:38,12.864
04/25/2021 03:10:38,12.816
04/25/2021 03:12:48,12.764
04/25/2021 03:12:49,12.92
04/25/2021 03:14:58,12.964
04/25/2021 03:19:11,13.978
04/25/2021 03:21:17,75.494
04/25/2021 03:23:23,134.202
04/25/2021 03:25:30,78.206
04/25/2021 03:27:40,140.618
04/25/2021 03:31:59,73.09
04/25/2021 03:34:11,17.284
04/25/2021 03:34:11,15.616
04/25/2021 03:36:25,12.768
04/25/2021 03:36:26,15.735
04/25/2021 03:38:39,13.854
04/25/2021 03:38:40,13.048
04/25/2021 03:40:54,12.888
04/25/2021 03:45:21,12.74
04/25/2021 03:47:35,12.796
04/25/2021 03:49:47,12.816
04/25/2021 03:51:59,12.74
04/25/2021 03:54:11,139.804
04/25/2021 03:56:21,136.593
04/25/2021 03:58:35,16.016
04/25/2021 04:00:51,15.209
04/25/2021 04:03:06,13.73
04/25/2021 04:05:19,12.736
04/25/2021 04:07:31,16.295
04/25/2021 04:09:44,14.01
04/25/2021 04:11:57,78.952
04/25/2021 04:14:11,74.969
04/25/2021 04:16:33,137.241
04/25/2021 04:18:56,77.36
04/25/2021 04:21:15,78.688
04/25/2021 04:23:27,75.548
04/25/2021 04:23:28,78.88
04/25/2021 04:25:45,15.229
04/25/2021 04:25:46,12.992
04/25/2021 04:27:59,12.66
04/25/2021 04:28:00,12.92
04/25/2021 04:30:13,12.74
04/25/2021 04:30:14,12.864
04/25/2021 04:32:28,12.764
04/25/2021 04:34:47,16.353
04/25/2021 04:36:59,12.66
04/25/2021 04:39:17,15.479
04/25/2021 04:41:29,12.66
04/25/2021 04:43:52,71.37
04/25/2021 04:46:09,75.936
04/25/2021 04:48:23,74.654
04/25/2021 04:50:45,136.424
04/25/2021 04:53:09,79.646
04/25/2021 04:55:25,12.712
04/25/2021 04:55:26,12.916
04/25/2021 04:57:44,15.193
04/25/2021 04:57:44,12.964
04/25/2021 04:59:58,12.66
04/25/2021 04:59:59,15.573
04/25/2021 05:02:14,12.888
04/25/2021 05:06:41,13.93
04/25/2021 05:08:55,12.892
04/25/2021 05:11:10,73.11
04/25/2021 05:13:24,79.403
04/25/2021 05:15:38,74.344
04/25/2021 05:20:16,75.812
04/25/2021 05:22:36,78.047
04/25/2021 05:24:58,12.764
04/25/2021 05:27:17,11.742
04/25/2021 05:27:19,13.02
04/25/2021 05:29:38,12.736
04/25/2021 05:29:39,11.994
04/25/2021 05:31:58,12.844
04/25/2021 05:31:59,12.972
04/25/2021 05:34:30,76.912
04/25/2021 05:39:08,137.184
04/25/2021 05:41:37,79.248
04/25/2021 05:44:15,143.107
04/25/2021 05:46:53,12.664
04/25/2021 05:49:34,12.74
04/25/2021 05:49:35,12.864
04/25/2021 05:52:15,12.584
04/25/2021 05:52:17,13.906
04/25/2021 05:54:56,12.792
04/25/2021 05:54:57,12.916
04/25/2021 05:57:22,12.588
04/25/2021 05:57:23,12.964
04/25/2021 05:59:46,12.688
04/25/2021 06:04:36,12.948
04/25/2021 06:07:12,14.969
04/25/2021 06:09:38,12.921
04/25/2021 06:12:13,13.626
04/25/2021 06:14:40,14.077
04/25/2021 06:17:05,12.736
04/25/2021 06:19:31,72.396
04/25/2021 06:21:57,137.815
04/25/2021 06:24:20,139.126
04/25/2021 06:26:55,140.674
04/25/2021 06:31:46,138.902
04/25/2021 06:31:46,80.655
04/25/2021 06:34:09,12.688
04/25/2021 06:34:10,11.894
04/25/2021 06:36:30,12.636
04/25/2021 06:36:31,30.595
04/25/2021 06:38:55,12.764
04/25/2021 06:38:56,26.914
04/25/2021 06:41:21,24.735
04/25/2021 06:46:03,142.384
04/25/2021 06:50:54,146.943
04/25/2021 06:53:18,135.309
04/25/2021 06:55:42,147.723
04/25/2021 06:58:08,143.471
04/25/2021 07:00:33,178.865
04/25/2021 07:00:34,77.228
04/25/2021 07:03:07,28.967
04/25/2021 07:03:07,12.892
04/25/2021 07:05:36,17.83
04/25/2021 07:05:37,15.679
04/25/2021 07:08:07,22.987
04/25/2021 07:08:07,27.91
04/25/2021 07:10:48,44.498
04/25/2021 07:15:57,136.736
04/25/2021 13:13:45,12.66
04/25/2021 13:16:28,12.896
