date,value
06/01/2021 00:56:21,48.124
06/01/2021 00:57:33,48.112
06/01/2021 00:58:45,52.765
06/01/2021 00:59:56,52.689
06/01/2021 01:01:09,74.218
06/01/2021 01:02:19,49.472
06/01/2021 01:03:31,49.372
06/01/2021 01:04:43,48.088
06/01/2021 01:05:56,50.138
06/01/2021 01:07:09,53.234
06/01/2021 01:08:21,51.165
06/01/2021 01:09:34,54.054
06/01/2021 01:10:46,56.439
06/01/2021 01:11:57,63.95
06/01/2021 01:16:56,50.591
06/01/2021 01:18:13,55.934
06/01/2021 01:19:28,58.026
06/01/2021 01:20:44,286.2845
06/01/2021 01:21:59,165.905
06/01/2021 01:23:14,55.7345
06/01/2021 01:24:29,54.1595
06/01/2021 01:25:46,54.8795
06/01/2021 01:27:03,56.427
06/01/2021 01:28:20,56.881
06/01/2021 01:29:36,58.01000000000001
06/01/2021 01:30:51,58.7375
06/01/2021 01:32:08,59.908
06/01/2021 01:33:27,54.9135
06/01/2021 01:34:43,53.5595
06/01/2021 01:35:57,54.4255
06/01/2021 01:37:12,63.94
06/01/2021 01:38:30,126.138
06/01/2021 01:39:45,55.32850000000001
06/01/2021 01:41:04,55.611
06/01/2021 01:42:21,49.6745
06/01/2021 01:43:37,48.09
06/01/2021 01:44:51,47.988
06/01/2021 01:46:09,48.784
06/01/2021 01:47:26,48.028
06/01/2021 01:48:44,49.054
06/01/2021 01:50:01,49.054
06/01/2021 01:51:10,50.132
06/01/2021 01:52:24,48.188
06/01/2021 01:53:38,47.956
06/01/2021 01:54:54,50.202
06/01/2021 01:56:10,53.658
06/01/2021 01:57:25,53.338
06/01/2021 01:58:40,61.066
06/01/2021 01:59:55,63.595
06/01/2021 02:01:10,55.854
06/01/2021 02:02:25,57.501
06/01/2021 02:03:42,55.514
06/01/2021 02:04:58,55.282
06/01/2021 02:06:13,59.436
06/01/2021 02:07:30,55.746
06/01/2021 02:08:43,56.732
06/01/2021 02:09:56,61.755
06/01/2021 02:11:10,56.062
06/01/2021 02:12:27,61.837
06/01/2021 02:13:44,58.555
06/01/2021 02:14:59,56.863
06/01/2021 02:16:14,56.964
06/01/2021 02:17:30,65.211
06/01/2021 02:18:41,50.923
06/01/2021 02:19:56,48.036
06/01/2021 02:21:10,49.004
06/01/2021 02:22:24,47.88
06/01/2021 02:23:38,47.956
06/01/2021 02:24:53,48.184
06/01/2021 02:26:10,47.856
06/01/2021 02:27:26,51.7
06/01/2021 02:28:41,52.778
06/01/2021 02:29:56,49.122
06/01/2021 02:31:12,48.056
06/01/2021 02:32:28,48.649
06/01/2021 02:33:41,52.568
06/01/2021 02:34:59,53.479
06/01/2021 02:36:15,50.856
06/01/2021 02:37:31,53.739
06/01/2021 02:38:46,55.93
06/01/2021 02:40:01,59.144
06/01/2021 02:41:16,57.608
06/01/2021 02:42:32,58.821
06/01/2021 02:43:46,59.37
06/01/2021 02:45:01,55.902
06/01/2021 02:46:16,59.292
06/01/2021 02:47:31,57.549
06/01/2021 02:48:45,58.539
06/01/2021 02:49:59,58.613
06/01/2021 02:51:13,57.19
06/01/2021 02:52:29,55.446
06/01/2021 02:53:45,57.326
06/01/2021 02:55:00,57.786
06/01/2021 02:56:13,56.14
06/01/2021 02:57:28,57.662
06/01/2021 02:58:42,54.498
06/01/2021 02:59:58,50.171
06/01/2021 03:01:18,48.112
06/01/2021 03:02:37,47.88
06/01/2021 03:03:51,51.801
06/01/2021 03:05:06,50.794
06/01/2021 03:06:28,50.228
06/01/2021 03:07:42,50.184
06/01/2021 03:08:57,47.956
06/01/2021 03:10:12,47.704
06/01/2021 03:11:28,64.929
06/01/2021 03:12:40,53.617
06/01/2021 03:13:55,53.546
06/01/2021 03:15:13,51.336
06/01/2021 03:16:29,54.435
06/01/2021 03:17:49,52.305
06/01/2021 03:19:05,51.704
06/01/2021 03:20:20,61.442
06/01/2021 03:21:33,57.648
06/01/2021 03:22:48,56.933
06/01/2021 03:24:06,55.998
06/01/2021 03:25:24,57.871
06/01/2021 03:26:41,55.674
06/01/2021 03:27:57,57.371
06/01/2021 03:29:15,57.93
06/01/2021 03:30:31,55.818
06/01/2021 03:31:50,57.733
06/01/2021 03:33:06,55.902
06/01/2021 03:34:22,57.901
06/01/2021 03:35:37,56.053
06/01/2021 03:36:55,56.132
06/01/2021 03:38:11,55.828
06/01/2021 03:39:27,54.161
06/01/2021 03:40:45,49.919
06/01/2021 03:42:04,47.952
06/01/2021 03:43:21,48.012
06/01/2021 03:44:36,47.96
06/01/2021 03:45:52,47.956
06/01/2021 03:47:09,48.634
06/01/2021 03:48:26,48.056
06/01/2021 03:49:42,48.176
06/01/2021 03:50:58,49.569
06/01/2021 03:52:17,49.298
06/01/2021 03:53:33,48.112
06/01/2021 03:54:48,49.688
06/01/2021 03:56:04,52.506
06/01/2021 03:57:21,51.08
06/01/2021 03:58:39,51.58
06/01/2021 03:59:57,53.951
06/01/2021 04:01:13,55.902
06/01/2021 04:02:29,56.341
06/01/2021 04:03:47,57.106
06/01/2021 04:05:04,76.676
06/01/2021 04:06:16,295.914
06/01/2021 04:07:26,118.486
06/01/2021 04:12:24,59.273
06/01/2021 04:13:39,58.101
06/01/2021 04:14:59,57.385
06/01/2021 04:16:18,986.826
06/01/2021 04:17:34,58.0285
06/01/2021 04:18:50,55.02800000000001
06/01/2021 04:20:05,56.69
06/01/2021 04:25:15,51.562
06/01/2021 04:26:34,51.419
06/01/2021 04:27:56,54.194
06/01/2021 04:29:21,423.178
06/01/2021 04:30:40,48.24
06/01/2021 04:32:00,48.114
06/01/2021 04:33:14,48.34
06/01/2021 04:34:31,48.568
06/01/2021 04:35:48,48.568
06/01/2021 04:36:57,55.681
06/01/2021 04:38:13,53.918
06/01/2021 04:39:26,52.048
06/01/2021 04:40:38,55.47
06/01/2021 04:41:52,55.822
06/01/2021 04:43:05,56.206
06/01/2021 04:44:19,55.054
06/01/2021 04:45:33,54.1
06/01/2021 04:46:48,60.926
06/01/2021 04:48:01,63.138
06/01/2021 04:49:15,80.348
06/01/2021 04:50:27,62.178
06/01/2021 04:51:40,58.93
06/01/2021 04:52:53,59.259
06/01/2021 04:54:06,57.648
06/01/2021 04:55:22,59.016
06/01/2021 04:56:36,56.548
06/01/2021 04:57:50,56.202
06/01/2021 04:59:02,54.262
06/01/2021 05:00:15,51.918
06/01/2021 05:01:30,47.896
06/01/2021 05:02:44,48.224
06/01/2021 05:03:57,48.26
06/01/2021 05:05:11,47.808
06/01/2021 05:06:25,48.112
06/01/2021 05:07:42,48.664
06/01/2021 05:08:56,47.78
06/01/2021 05:13:53,48.064
06/01/2021 05:15:10,49.346
06/01/2021 05:16:29,56.41
06/01/2021 05:21:43,54.563
06/01/2021 05:23:04,66.493
06/01/2021 05:24:23,54.6725
06/01/2021 05:29:50,54.816
06/01/2021 05:31:14,54.18233333333333
06/01/2021 05:32:38,54.582
06/01/2021 05:34:04,55.212
06/01/2021 05:39:50,59.59875
06/01/2021 05:41:23,99.8205
06/01/2021 05:42:50,76.41399999999999
06/01/2021 05:48:38,49.39400000000001
06/01/2021 05:50:05,50.42
06/01/2021 05:51:36,50.4085
06/01/2021 05:53:05,48.5
06/01/2021 05:54:32,48.502
06/01/2021 05:55:48,48.50566666666666
06/01/2021 05:57:11,49.486
06/01/2021 05:58:25,49.59633333333333
06/01/2021 05:59:47,50.77500000000001
06/01/2021 06:01:11,54.034
06/01/2021 06:02:33,54.034
06/01/2021 06:07:41,60.579
06/01/2021 06:09:01,62.683
06/01/2021 06:10:22,55.3625
06/01/2021 06:11:43,270.2346666666667
06/01/2021 06:13:01,55.19266666666667
06/01/2021 06:14:24,55.25466666666667
06/01/2021 06:15:47,53.09333333333333
06/01/2021 06:17:06,53.76233333333332
06/01/2021 06:18:25,54.48733333333333
06/01/2021 06:19:46,53.7485
06/01/2021 06:21:06,53.7485
06/01/2021 06:22:15,51.146
06/01/2021 06:23:33,51.766
06/01/2021 06:24:51,48.392
06/01/2021 06:26:10,48.392
06/01/2021 06:31:07,50.73
06/01/2021 06:32:25,49.245
06/01/2021 06:33:46,49.065
06/01/2021 06:38:56,50.776
06/01/2021 06:40:15,56.1125
06/01/2021 06:41:36,54.597
06/01/2021 06:42:59,468.6456666666666
06/01/2021 06:48:24,54.87433333333333
06/01/2021 06:49:51,53.88366666666667
06/01/2021 06:51:20,58.14766666666666
06/01/2021 06:57:06,62.36975
06/01/2021 06:58:37,58.5655
06/01/2021 07:00:07,58.4225
06/01/2021 07:05:57,49.2582
06/01/2021 07:07:24,48.26480000000001
06/01/2021 07:08:54,49.655
06/01/2021 07:10:21,51.575
06/01/2021 07:11:48,48.556
06/01/2021 07:13:16,48.4175
06/01/2021 07:14:33,50.06733333333333
06/01/2021 07:15:58,50.10866666666666
06/01/2021 07:17:14,47.10400000000001
06/01/2021 07:18:33,48.97
06/01/2021 07:19:52,52.811
06/01/2021 07:21:13,53.9115
06/01/2021 07:22:50,51.5745
06/01/2021 07:28:06,53.81
06/01/2021 07:29:26,54.5425
06/01/2021 07:30:48,54.78700000000001
06/01/2021 07:36:21,52.98766666666668
06/01/2021 07:37:46,54.85066666666666
06/01/2021 07:39:12,53.44600000000001
06/01/2021 07:40:38,279.76
06/01/2021 07:46:04,49.15066666666667
06/01/2021 07:47:27,48.59
06/01/2021 07:48:49,48.70733333333334
06/01/2021 07:50:14,453.6466666666666
06/01/2021 07:51:37,453.6466666666666
06/01/2021 07:52:49,48.11133333333333
06/01/2021 07:54:08,48.24533333333334
06/01/2021 07:55:28,48.26266666666667
06/01/2021 07:56:48,49.0445
06/01/2021 07:58:08,52.761
06/01/2021 08:03:28,56.5515
06/01/2021 08:05:05,53.396
06/01/2021 08:06:39,57.3705
06/01/2021 08:12:12,56.78933333333333
06/01/2021 08:13:45,55.614
06/01/2021 08:15:17,56.62733333333333
06/01/2021 08:16:53,205.82375
06/01/2021 08:18:26,53.606
06/01/2021 08:20:00,51.36775
06/01/2021 08:21:26,49.38
06/01/2021 08:22:51,48.48925
06/01/2021 08:24:17,48.60333333333333
06/01/2021 08:25:41,48.60333333333333
06/01/2021 08:26:53,75.13733333333333
06/01/2021 08:28:25,49.30466666666666
06/01/2021 08:29:44,50.95533333333333
06/01/2021 08:31:04,46.34
06/01/2021 08:32:25,50.217
06/01/2021 08:33:45,50.045
06/01/2021 08:35:04,50.045
06/01/2021 08:36:17,50.744
06/01/2021 08:37:45,50.744
06/01/2021 08:39:01,51.496
06/01/2021 08:40:23,55.001
06/01/2021 08:41:43,56.537
06/01/2021 08:43:03,59.818
06/01/2021 08:44:24,60.837
06/01/2021 08:45:47,56.723
06/01/2021 08:47:06,58.598
06/01/2021 08:48:29,70.894
06/01/2021 08:49:53,62.629
06/01/2021 08:51:18,68.078
06/01/2021 08:52:40,58.833
06/01/2021 08:54:00,61.904
06/01/2021 08:55:21,57.554
06/01/2021 09:00:27,55.472
06/01/2021 09:01:58,51.039
06/01/2021 09:03:24,49.314
06/01/2021 09:08:47,48.7
06/01/2021 09:10:08,49.394
06/01/2021 09:11:28,48.967
06/01/2021 09:12:50,511.485
06/01/2021 09:14:11,49.64
06/01/2021 09:15:31,48.667
06/01/2021 09:16:44,48.687
06/01/2021 09:18:02,48.444
06/01/2021 09:19:18,49.109
06/01/2021 09:20:39,52.704
06/01/2021 09:25:44,61.666
06/01/2021 09:27:05,58.598
06/01/2021 09:28:27,59.613
06/01/2021 09:33:43,56.1475
06/01/2021 09:35:11,56.705
06/01/2021 09:36:36,56.6975
06/01/2021 09:42:09,49.088
06/01/2021 09:43:33,50.34666666666667
06/01/2021 09:44:58,50.8605
06/01/2021 09:46:22,166.0856666666667
06/01/2021 09:47:34,48.476
06/01/2021 09:48:54,48.83000000000001
06/01/2021 09:50:16,48.953
06/01/2021 09:51:37,48.953
06/01/2021 09:52:46,51.1735
06/01/2021 09:54:10,49.562
06/01/2021 09:55:29,50.749
06/01/2021 10:00:34,74.946
06/01/2021 10:01:51,79.456
06/01/2021 10:03:08,66.21
06/01/2021 10:04:35,326.4975
06/01/2021 10:05:52,231.1635
06/01/2021 10:07:10,56.75
06/01/2021 10:08:31,57.16200000000001
06/01/2021 10:09:53,59.0445
06/01/2021 10:11:19,58.676
06/01/2021 10:12:43,55.4515
06/01/2021 10:13:59,58.892
06/01/2021 10:15:21,57.44450000000001
06/01/2021 10:16:42,56.022
06/01/2021 10:18:01,55.774
06/01/2021 10:19:19,52.67400000000001
06/01/2021 10:20:37,54.025
06/01/2021 10:21:59,52.326
06/01/2021 10:23:22,49.294
06/01/2021 10:24:47,49.294
06/01/2021 10:26:01,50.682
06/01/2021 10:27:18,48.184
06/01/2021 10:28:38,52.302
06/01/2021 10:29:59,52.378
06/01/2021 10:31:26,49.238
06/01/2021 10:32:48,50.664
06/01/2021 10:34:11,48.264
06/01/2021 10:35:33,51.158
06/01/2021 10:36:54,49.158
06/01/2021 10:38:22,48.901
06/01/2021 10:39:44,50.273
06/01/2021 10:41:06,54.332
06/01/2021 10:42:28,59.009
06/01/2021 10:43:49,56.709
06/01/2021 10:45:15,59.598
06/01/2021 10:46:41,60.357
06/01/2021 10:48:00,55.422
06/01/2021 10:49:19,65.675
06/01/2021 10:50:37,67.324
06/01/2021 10:51:51,62.098
06/01/2021 10:53:12,59.967
06/01/2021 10:54:34,57.941
06/01/2021 10:55:53,60.561
06/01/2021 10:57:13,60.552
06/01/2021 10:58:36,62.435
06/01/2021 10:59:57,61.228
06/01/2021 11:01:25,55.251
06/01/2021 11:02:48,51.333
06/01/2021 11:04:12,54.31
06/01/2021 11:09:28,48.108
06/01/2021 11:11:01,66.828
06/01/2021 11:12:21,51.683
06/01/2021 11:17:49,49.588
06/01/2021 11:19:10,48.388
06/01/2021 11:20:31,49.4965
06/01/2021 11:21:53,488.1635
06/01/2021 11:23:13,69.0755
06/01/2021 11:24:36,70.642
