date,value
04/30/2021 21:28:09,13.02
04/30/2021 21:29:11,12.816
04/30/2021 21:30:12,12.992
04/30/2021 21:31:17,13.112
04/30/2021 21:32:21,12.988
04/30/2021 21:33:25,12.864
04/30/2021 21:34:29,12.66
04/30/2021 21:35:33,13.878
04/30/2021 21:36:37,12.888
04/30/2021 21:37:44,12.92
04/30/2021 21:38:49,12.916
04/30/2021 21:39:55,12.84
04/30/2021 21:41:00,15.184
04/30/2021 21:42:08,12.84
04/30/2021 21:43:14,12.712
04/30/2021 21:44:20,14.025
04/30/2021 21:45:25,66.674
04/30/2021 21:46:28,65.062
04/30/2021 21:47:34,94.258
04/30/2021 21:48:40,125.628
04/30/2021 21:49:48,91.039
04/30/2021 21:50:51,109.359
04/30/2021 21:51:54,74.515
04/30/2021 21:52:58,109.17
04/30/2021 21:54:03,102.955
04/30/2021 21:55:08,118.283
04/30/2021 21:56:13,55.802
04/30/2021 21:57:19,131.331
04/30/2021 21:58:24,58.304
04/30/2021 21:59:30,116.078
04/30/2021 22:00:38,99.053
04/30/2021 22:01:45,755.899
04/30/2021 22:02:49,65.895
04/30/2021 22:02:49,62.586
04/30/2021 22:03:59,68.869
04/30/2021 22:04:01,75.088
04/30/2021 22:05:08,15.964
04/30/2021 22:05:08,13.726
04/30/2021 22:06:16,12.636
04/30/2021 22:06:17,12.736
04/30/2021 22:07:24,12.92
04/30/2021 22:09:32,12.864
04/30/2021 22:10:37,22.445
04/30/2021 22:11:42,14.224
04/30/2021 22:12:46,12.94
04/30/2021 22:13:51,12.864
04/30/2021 22:14:55,13.83
04/30/2021 22:15:59,13.83
04/30/2021 22:17:05,12.636
04/30/2021 22:18:10,12.812
04/30/2021 22:19:14,12.588
04/30/2021 22:20:18,15.269
04/30/2021 22:21:27,13.008
04/30/2021 22:22:40,12.732
04/30/2021 22:23:49,14.101
04/30/2021 22:24:57,62.551
04/30/2021 22:26:04,123.817
04/30/2021 22:27:11,69.323
04/30/2021 22:28:20,108.176
04/30/2021 22:29:26,125.001
04/30/2021 22:31:43,64.669
04/30/2021 22:32:49,127.27
04/30/2021 22:34:02,56.029
04/30/2021 22:35:10,111.726
04/30/2021 22:36:22,61.448
04/30/2021 22:37:30,126.145
04/30/2021 22:38:38,102.575
04/30/2021 22:39:50,68.383
04/30/2021 22:40:59,104.767
04/30/2021 22:42:09,57.272
04/30/2021 22:43:15,12.612
04/30/2021 22:44:22,12.916
04/30/2021 22:45:32,12.664
04/30/2021 22:46:39,14.573
04/30/2021 22:47:45,12.588
04/30/2021 22:48:52,12.66
04/30/2021 22:49:59,20.913
04/30/2021 22:51:07,15.381
04/30/2021 22:52:15,15.273
04/30/2021 22:53:22,12.712
04/30/2021 22:54:29,12.736
04/30/2021 22:55:36,54.392
04/30/2021 22:56:45,110.33
04/30/2021 22:57:52,104.386
04/30/2021 22:58:59,104.386
04/30/2021 23:00:06,108.26
04/30/2021 23:01:14,104.459
04/30/2021 23:02:21,56.164
04/30/2021 23:03:29,18.218
04/30/2021 23:04:37,12.688
04/30/2021 23:05:44,12.588
04/30/2021 23:06:52,17.45
04/30/2021 23:07:59,15.316
04/30/2021 23:09:07,12.66
04/30/2021 23:10:15,17.757
04/30/2021 23:11:23,12.736
04/30/2021 23:12:30,12.56
04/30/2021 23:14:55,114.883
04/30/2021 23:16:09,113.106
04/30/2021 23:17:22,64.953
04/30/2021 23:18:41,119.39
04/30/2021 23:21:10,120.692
04/30/2021 23:21:10,947.356
04/30/2021 23:22:17,52.675
04/30/2021 23:22:18,92.745
04/30/2021 23:23:32,66.801
04/30/2021 23:23:32,78.188
04/30/2021 23:24:46,54.493
04/30/2021 23:24:47,68.54
04/30/2021 23:26:01,138.408
04/30/2021 23:26:02,16.13
04/30/2021 23:27:16,62.192
04/30/2021 23:28:30,77.072
04/30/2021 23:28:31,68.553
04/30/2021 23:29:51,15.549
04/30/2021 23:29:52,68.553
04/30/2021 23:31:07,12.484
04/30/2021 23:31:08,12.864
04/30/2021 23:32:21,12.92
04/30/2021 23:32:22,12.888
04/30/2021 23:33:37,12.992
04/30/2021 23:34:51,14.022
04/30/2021 23:37:19,12.632
04/30/2021 23:38:33,56.978
04/30/2021 23:39:47,114.97
04/30/2021 23:41:06,65.823
04/30/2021 23:42:23,115.183
04/30/2021 23:43:37,115.183
04/30/2021 23:44:51,106.484
04/30/2021 23:46:06,122.911
04/30/2021 23:47:20,103.722
04/30/2021 23:48:34,103.722
04/30/2021 23:49:48,93.511
04/30/2021 23:51:03,108.15
04/30/2021 23:52:18,109.096
04/30/2021 23:53:33,16.203
04/30/2021 23:54:47,13.754
04/30/2021 23:56:03,12.812
04/30/2021 23:57:23,12.66
04/30/2021 23:58:38,12.712
04/30/2021 23:59:52,12.82
05/01/2021 00:01:07,12.712
05/01/2021 00:02:22,69.911
05/01/2021 00:03:36,77.203
05/01/2021 00:04:51,77.203
05/01/2021 00:06:06,12.812
05/01/2021 00:07:22,12.812
05/01/2021 00:08:44,12.812
05/01/2021 00:10:00,12.736
05/01/2021 00:11:15,12.512
05/01/2021 00:12:38,12.84
05/01/2021 00:13:55,12.712
05/01/2021 00:15:11,13.654
05/01/2021 00:16:30,14.101
05/01/2021 00:17:47,12.808
05/01/2021 00:18:58,12.808
05/01/2021 00:20:10,12.66
05/01/2021 00:21:21,76.822
05/01/2021 00:22:33,100.257
05/01/2021 00:23:45,100.257
05/01/2021 00:24:56,81.952
05/01/2021 00:27:20,130.877
05/01/2021 00:28:32,130.877
05/01/2021 00:29:44,15.912
05/01/2021 00:30:59,12.764
05/01/2021 00:32:19,12.588
05/01/2021 00:33:31,19.866
05/01/2021 00:54:53,13.574
05/01/2021 00:56:22,12.66
05/01/2021 00:57:42,64.738
05/01/2021 00:59:09,107.358
05/01/2021 01:00:30,101.393
05/01/2021 01:03:41,66.537
05/01/2021 01:05:10,13.337
05/01/2021 01:06:30,136.628
05/01/2021 01:07:51,133.802
05/01/2021 01:09:13,74.116
05/01/2021 01:10:40,136.684
05/01/2021 01:14:27,10.134
05/01/2021 01:16:18,11.745
05/01/2021 01:18:02,76.004
05/01/2021 01:19:43,134.852
05/01/2021 01:21:31,77.14
05/01/2021 01:23:23,69.706
05/01/2021 01:24:26,141.266
05/01/2021 01:25:28,75.908
05/01/2021 01:26:30,68.114
05/01/2021 01:26:31,3466.478
05/01/2021 01:27:33,141.868
05/01/2021 01:27:34,9.708
05/01/2021 01:28:36,74.084
05/01/2021 01:28:36,75.686
05/01/2021 01:29:46,76.658
05/01/2021 01:29:47,76.417
05/01/2021 01:30:56,76.658
05/01/2021 01:30:57,74.136
05/01/2021 01:32:26,79.574
05/01/2021 01:33:34,12.916
05/01/2021 01:34:41,74.02
05/01/2021 01:35:47,72.098
05/01/2021 01:38:07,68.712
05/01/2021 01:39:16,140.898
05/01/2021 01:40:26,78.016
05/01/2021 01:41:28,130.116
05/01/2021 01:42:30,78.408
05/01/2021 01:43:33,76.486
05/01/2021 01:43:34,3410.877
05/01/2021 01:44:36,129.286
05/01/2021 01:44:36,75.616
05/01/2021 01:45:38,15.546
05/01/2021 01:45:39,75.616
