date,value
05/02/2021 22:25:11,13.864
05/02/2021 22:26:13,14.032
05/02/2021 22:27:15,14.024
05/02/2021 22:28:20,13.532
05/02/2021 22:29:27,15.14
05/02/2021 22:30:32,13.646
05/02/2021 22:31:43,13.744
05/02/2021 22:32:56,17.426
05/02/2021 22:34:06,22.359
05/02/2021 22:35:17,0
05/02/2021 22:36:20,0
05/02/2021 22:37:23,0
05/02/2021 22:38:26,0
05/02/2021 22:39:29,31.942
05/02/2021 22:40:35,16.874
05/02/2021 22:41:43,36.093
05/02/2021 22:42:51,34.47
05/02/2021 22:44:00,29.894
05/02/2021 22:45:10,34.19
05/02/2021 22:46:22,0
05/02/2021 22:47:25,0
05/02/2021 22:49:33,16.25
05/02/2021 22:50:56,14.17
05/02/2021 22:52:08,15.64
05/02/2021 22:53:20,13.982
05/02/2021 22:54:32,13.892
05/02/2021 22:55:49,14
05/02/2021 22:57:08,14.108
05/02/2021 22:58:25,14
05/02/2021 22:59:44,14.452
05/02/2021 23:01:00,14.41
05/02/2021 23:02:16,15.13
05/02/2021 23:03:32,16.317
05/02/2021 23:04:49,13.834
05/02/2021 23:06:05,17.108
05/02/2021 23:07:29,0
05/02/2021 23:08:32,0
05/02/2021 23:09:34,0
05/02/2021 23:10:38,0
05/02/2021 23:11:40,33.948
05/02/2021 23:13:06,36.816
05/02/2021 23:14:24,36.51000000000001
05/02/2021 23:15:42,34.366
05/02/2021 23:17:06,35.39400000000001
05/02/2021 23:18:24,31.336
05/02/2021 23:19:42,73.936
05/02/2021 23:21:00,65.846
05/02/2021 23:22:20,0
05/02/2021 23:23:23,0
05/02/2021 23:24:26,0
05/02/2021 23:25:27,0
05/02/2021 23:26:29,14
05/02/2021 23:27:49,14
05/02/2021 23:29:15,13.966
05/02/2021 23:30:37,15.898
05/02/2021 23:31:59,15.898
05/02/2021 23:33:20,14.008
05/02/2021 23:34:43,15.64
05/02/2021 23:36:05,14.304
05/02/2021 23:37:27,15.21
05/02/2021 23:38:49,16.5
05/02/2021 23:40:12,23.55
05/02/2021 23:41:40,31.616
05/02/2021 23:43:06,0
05/02/2021 23:44:09,0
05/02/2021 23:45:11,0
05/02/2021 23:46:14,0
05/02/2021 23:47:16,29.472
05/02/2021 23:48:45,35.92
05/02/2021 23:50:10,28.128
05/02/2021 23:51:34,0
05/02/2021 23:52:37,0
05/02/2021 23:53:38,0
05/02/2021 23:54:40,0
05/02/2021 23:55:43,14.222
05/02/2021 23:57:34,13.982
05/02/2021 23:59:27,15.32
05/03/2021 00:00:59,14.312
05/03/2021 00:02:37,14.024
05/03/2021 00:04:02,16.284
05/03/2021 00:05:38,17.172
05/03/2021 00:07:01,15.599
05/03/2021 00:08:25,14.312
05/03/2021 00:10:04,15.493
05/03/2021 00:11:45,14.312
05/03/2021 00:13:14,13.928
05/03/2021 00:14:43,13.886
05/03/2021 00:16:12,14.17
05/03/2021 00:17:57,13.918
05/03/2021 00:19:37,22.171
05/03/2021 00:21:15,0
05/03/2021 00:22:17,0
05/03/2021 00:23:20,0
05/03/2021 00:24:22,0
05/03/2021 00:25:25,35.61
05/03/2021 00:26:59,34.18
05/03/2021 00:28:30,0
05/03/2021 00:29:33,0
05/03/2021 00:30:36,0
05/03/2021 00:31:40,0
05/03/2021 00:32:44,42.846
05/03/2021 00:34:13,0
05/03/2021 00:35:17,0
05/03/2021 00:36:20,0
05/03/2021 00:37:23,0
05/03/2021 00:38:24,15.576
05/03/2021 00:39:55,15.576
05/03/2021 00:41:28,14.146
05/03/2021 00:43:03,14.146
05/03/2021 00:44:34,19.843
05/03/2021 00:46:11,0
05/03/2021 00:47:14,0
05/03/2021 00:48:16,0
05/03/2021 00:49:19,0
05/03/2021 00:50:22,38.626
05/03/2021 00:51:59,0
05/03/2021 00:53:03,0
05/03/2021 00:54:06,0
05/03/2021 00:55:09,0
05/03/2021 00:56:13,55.458
05/03/2021 00:58:06,0
05/03/2021 00:59:10,0
05/03/2021 01:00:14,0
05/03/2021 01:01:15,0
05/03/2021 01:02:17,46.77800000000001
05/03/2021 01:04:15,44.584
05/03/2021 01:05:54,50.928
05/03/2021 01:07:37,0
05/03/2021 01:08:40,0
05/03/2021 01:09:42,0
05/03/2021 01:10:45,0
05/03/2021 01:11:46,29.831
05/03/2021 01:13:27,29.583
05/03/2021 01:15:11,26.48
05/03/2021 01:15:56,27.606
05/03/2021 01:17:47,29.667
05/03/2021 01:19:32,27.51
05/03/2021 01:21:17,26.714
05/03/2021 01:22:57,0
05/03/2021 01:24:42,0
05/03/2021 01:25:44,0
05/03/2021 01:26:46,0
05/03/2021 01:27:49,0
05/03/2021 01:28:52,18.454
05/03/2021 01:30:39,55.087
05/03/2021 01:32:25,24.736
05/03/2021 01:34:12,44.826
05/03/2021 01:35:57,0
05/03/2021 01:36:59,0
05/03/2021 01:38:01,0
05/03/2021 01:39:02,0
05/03/2021 01:40:04,14.59
05/03/2021 01:41:38,16.328
05/03/2021 01:43:15,14.884
05/03/2021 01:44:50,15.214
05/03/2021 01:46:29,14.884
05/03/2021 01:48:24,15.106
05/03/2021 01:50:09,14.902
05/03/2021 01:51:45,16.34
05/03/2021 01:53:21,21.747
05/03/2021 01:54:57,21.747
05/03/2021 01:56:36,0
05/03/2021 01:57:39,0
05/03/2021 01:58:41,0
05/03/2021 01:59:43,0
05/03/2021 02:00:46,35.738
05/03/2021 02:02:26,27.348
05/03/2021 02:04:09,0
05/03/2021 02:05:12,0
05/03/2021 02:06:15,0
05/03/2021 02:07:16,0
05/03/2021 02:08:17,15.054
05/03/2021 02:09:59,16.823
05/03/2021 02:11:39,16.433
05/03/2021 02:13:19,14.574
05/03/2021 02:14:59,16.746
05/03/2021 02:16:43,17.626
05/03/2021 02:18:25,18.206
05/03/2021 02:20:08,21.299
05/03/2021 02:21:52,21.176
05/03/2021 02:23:48,0
05/03/2021 02:24:51,0
05/03/2021 02:25:53,0
05/03/2021 02:26:56,0
05/03/2021 02:27:58,33.144
05/03/2021 02:29:45,0
05/03/2021 02:30:48,0
05/03/2021 02:31:51,0
05/03/2021 02:32:52,0
05/03/2021 02:33:54,13.924
05/03/2021 02:35:35,13.958
05/03/2021 02:37:18,13.792
05/03/2021 02:39:00,14.024
05/03/2021 02:40:55,15.124
05/03/2021 02:42:40,16.828
05/03/2021 02:44:24,17.214
05/03/2021 02:46:16,19.03
05/03/2021 02:48:01,19.19
05/03/2021 02:49:49,0
05/03/2021 02:50:51,0
05/03/2021 02:51:53,0
05/03/2021 02:52:56,0
05/03/2021 02:53:58,41.858
05/03/2021 02:55:52,34.055
05/03/2021 02:57:54,0
05/03/2021 02:58:56,0
05/03/2021 02:59:57,0
05/03/2021 03:00:59,0
05/03/2021 03:02:01,14.056
05/03/2021 03:04:09,14.612
05/03/2021 03:06:03,15.376
05/03/2021 03:07:57,0
05/03/2021 03:10:04,18.83
05/03/2021 03:12:02,0
05/03/2021 03:13:04,0
05/03/2021 03:14:06,0
05/03/2021 03:15:09,0
05/03/2021 03:16:11,37.142
05/03/2021 03:18:07,0
05/03/2021 03:19:09,0
05/03/2021 03:20:11,0
05/03/2021 03:21:13,0
05/03/2021 03:22:15,14.056
05/03/2021 03:24:12,15.973
05/03/2021 03:26:26,0
05/03/2021 03:27:29,0
05/03/2021 03:28:31,0
05/03/2021 03:29:33,0
05/03/2021 03:30:36,29.07
05/03/2021 03:32:54,0
05/03/2021 03:33:57,0
05/03/2021 03:34:59,0
05/03/2021 03:36:01,0
05/03/2021 03:37:03,13.826
05/03/2021 03:39:01,14.048
05/03/2021 03:40:58,15.18
05/03/2021 03:43:01,18.074
05/03/2021 03:45:00,20.937
05/03/2021 03:46:58,0
05/03/2021 03:48:00,0
05/03/2021 03:49:03,0
05/03/2021 03:50:05,0
