date,value
05/29/2021 17:30:35,3.25
05/29/2021 17:31:46,3.25
05/29/2021 17:32:57,3.2782
05/29/2021 17:34:08,3.1148
05/29/2021 17:35:21,3.1667
05/29/2021 17:36:33,3.1667
05/29/2021 17:37:45,3.25
05/29/2021 17:38:57,3.25
05/29/2021 17:40:10,3.3333
05/29/2021 17:41:21,3.1667
05/29/2021 17:42:33,3.1935
05/29/2021 17:43:45,3.1675
05/29/2021 17:44:57,3.1407
05/29/2021 17:46:09,3.2787
05/29/2021 17:47:20,3.3051
05/29/2021 17:48:33,3.2523
05/29/2021 17:49:45,3.1407
05/29/2021 17:50:57,3.1407
05/29/2021 17:52:10,2.881400000000001
05/29/2021 17:53:21,4.0747
05/29/2021 17:54:33,3.7469
05/29/2021 17:55:44,3.4926
05/29/2021 17:56:56,3.3898
05/29/2021 17:58:08,3.9344
05/29/2021 17:59:20,3.0833
05/29/2021 18:00:31,3.4167
05/29/2021 18:01:43,3.6667
05/29/2021 18:04:07,3.2787
05/29/2021 18:05:19,3.1059
05/29/2021 18:06:31,2.9688
05/29/2021 18:07:43,3.3078
05/29/2021 18:08:55,3.4449
05/29/2021 18:10:07,3.3333
05/29/2021 18:11:19,3.4167
05/29/2021 18:12:31,4
05/29/2021 18:13:43,4
05/29/2021 18:14:55,3.1667
05/29/2021 18:16:06,3.1148
05/29/2021 18:17:18,3.1935
05/29/2021 18:18:30,3.1667
05/29/2021 18:19:41,3.25
05/29/2021 18:20:53,3.3333
05/29/2021 18:22:05,3.2203
05/29/2021 18:23:18,3.196699999999999
05/29/2021 18:24:30,3.2495
05/29/2021 18:25:41,3.1102
05/29/2021 18:26:53,3.1393
05/29/2021 18:28:05,2.7119
05/29/2021 18:29:16,3.25
05/29/2021 18:30:28,3.6667
05/29/2021 18:31:40,4.4576
05/29/2021 18:32:52,4.097
05/29/2021 18:34:03,4
05/29/2021 18:35:16,3.3333
05/29/2021 18:36:28,3.6667
05/29/2021 18:37:40,3.75
05/29/2021 18:38:52,3.4713
05/29/2021 18:40:03,3.2759
05/29/2021 18:41:15,3.056
05/29/2021 18:42:27,3.4167
05/29/2021 18:43:39,4.75
05/29/2021 18:44:50,4.8333
05/29/2021 18:46:02,5.5
05/29/2021 18:47:14,4
05/29/2021 18:48:26,3.006400000000001
05/29/2021 18:49:37,3.3616
05/29/2021 18:50:49,3.3616
05/29/2021 18:52:01,3.5484
05/29/2021 18:53:13,4.113
05/29/2021 18:54:26,3.9435
05/29/2021 18:55:37,3.2495
05/29/2021 18:56:49,3.222700000000001
05/29/2021 18:58:01,3.2203
05/29/2021 18:59:14,3.2787
05/29/2021 19:00:26,3.25
05/29/2021 19:01:38,3.2768
05/29/2021 19:02:49,3.1675
05/29/2021 19:04:01,3.2203
05/29/2021 19:05:13,3.2787
05/29/2021 19:06:25,3.1935
05/29/2021 19:07:37,3.1407
05/29/2021 19:08:49,3.1407
05/29/2021 19:10:01,3.1667
05/29/2021 19:11:13,4.7541
05/29/2021 19:12:25,4.0011
05/29/2021 19:13:36,4.8486
05/29/2021 19:14:48,3.798
05/29/2021 19:16:00,4.1667
05/29/2021 19:17:11,4
05/29/2021 19:18:23,3.6732
05/29/2021 19:19:36,3.2787
05/29/2021 19:20:48,3.6732
05/29/2021 19:22:00,3.5
05/29/2021 19:23:11,5.6667
05/29/2021 19:24:23,3.7213
05/29/2021 19:25:35,4.0942
05/29/2021 19:26:47,3.7895
05/29/2021 19:27:59,3.056
05/29/2021 19:29:11,3.448300000000001
05/29/2021 19:30:23,3.4713
05/29/2021 19:31:35,2.3333
05/29/2021 19:32:47,2.25
05/29/2021 19:33:59,4.0833
05/29/2021 19:35:11,3.1667
05/29/2021 19:36:24,3.1667
05/29/2021 19:37:35,3.1667
05/29/2021 19:38:47,3.1407
05/29/2021 19:39:59,3.1953
05/29/2021 19:41:11,3.3333
05/29/2021 19:42:23,3.222700000000001
05/29/2021 19:43:35,3.222700000000001
