date,value
05/29/2021 17:30:35,25.92
05/29/2021 17:31:46,25.652
05/29/2021 17:32:57,26.913
05/29/2021 17:34:08,26.048
05/29/2021 17:35:21,25.892
05/29/2021 17:36:33,27.058
05/29/2021 17:37:45,27.058
05/29/2021 17:38:57,25.844
05/29/2021 17:40:10,25.992
05/29/2021 17:41:21,25.892
05/29/2021 17:42:33,25.844
05/29/2021 17:43:45,25.844
05/29/2021 17:44:57,25.892
05/29/2021 17:46:09,26.144
05/29/2021 17:47:20,25.916
05/29/2021 17:48:33,25.964
05/29/2021 17:49:45,25.844
05/29/2021 17:50:57,25.872
05/29/2021 17:52:10,27.888
05/29/2021 17:53:21,26.608
05/29/2021 17:54:33,30.224
05/29/2021 17:55:44,30.246
05/29/2021 17:56:56,28.888
05/29/2021 17:58:08,34.688
05/29/2021 17:59:20,33.808
05/29/2021 18:00:31,31.464
05/29/2021 18:01:43,29.654
05/29/2021 18:04:07,30.768
05/29/2021 18:05:19,27.252
05/29/2021 18:06:31,33.304
05/29/2021 18:07:43,36.266
05/29/2021 18:08:55,24.966
05/29/2021 18:10:07,29.404
05/29/2021 18:11:19,35.056
05/29/2021 18:12:31,30.158
05/29/2021 18:13:43,27.496
05/29/2021 18:14:55,25.844
05/29/2021 18:16:06,25.992
05/29/2021 18:17:18,26.83
05/29/2021 18:18:30,25.92
05/29/2021 18:19:41,25.92
05/29/2021 18:20:53,28.577
05/29/2021 18:22:05,25.992
05/29/2021 18:23:18,25.816
05/29/2021 18:24:30,25.844
05/29/2021 18:25:41,25.92
05/29/2021 18:26:53,25.892
05/29/2021 18:28:05,31.088
05/29/2021 18:29:16,26.989
05/29/2021 18:30:28,28.537
05/29/2021 18:31:40,28.197
05/29/2021 18:32:52,32.345
05/29/2021 18:34:03,27.56
05/29/2021 18:35:16,31.42
05/29/2021 18:36:28,31.06
05/29/2021 18:37:40,28.158
05/29/2021 18:38:52,30.182
05/29/2021 18:40:03,35.704
05/29/2021 18:41:15,31.672
05/29/2021 18:42:27,32.156
05/29/2021 18:43:39,31.72
05/29/2021 18:44:50,32.516
05/29/2021 18:46:02,34.572
05/29/2021 18:47:14,32.704
05/29/2021 18:48:26,34.349
05/29/2021 18:49:37,30.237
05/29/2021 18:50:49,25.624
05/29/2021 18:52:01,31.024
05/29/2021 18:53:13,31.472
05/29/2021 18:54:26,30.424
05/29/2021 18:55:37,26.169
05/29/2021 18:56:49,26.245
05/29/2021 18:58:01,28.53
05/29/2021 18:59:14,28.284
05/29/2021 19:00:26,25.94
05/29/2021 19:01:38,26.016
05/29/2021 19:02:49,26.044
05/29/2021 19:04:01,25.992
05/29/2021 19:05:13,25.848
05/29/2021 19:06:25,25.872
05/29/2021 19:07:37,25.92
05/29/2021 19:08:49,26.029
05/29/2021 19:10:01,23.62
05/29/2021 19:11:13,26.73
05/29/2021 19:12:25,26.542
05/29/2021 19:13:36,26.431
05/29/2021 19:14:48,32.636
05/29/2021 19:16:00,28.004
05/29/2021 19:17:11,34.18
05/29/2021 19:18:23,31.336
05/29/2021 19:19:36,39.154
05/29/2021 19:20:48,30.428
05/29/2021 19:22:00,38.446
05/29/2021 19:23:11,34.74
05/29/2021 19:24:23,31.148
05/29/2021 19:25:35,36.92
05/29/2021 19:26:47,29.185
05/29/2021 19:27:59,32.537
05/29/2021 19:29:11,34.048
05/29/2021 19:30:23,34.129
05/29/2021 19:31:35,28.395
05/29/2021 19:32:47,28.488
05/29/2021 19:33:59,32.642
05/29/2021 19:35:11,26.048
05/29/2021 19:36:24,26.1
05/29/2021 19:37:35,26.1
05/29/2021 19:38:47,25.92
05/29/2021 19:39:59,25.844
05/29/2021 19:41:11,30.84
05/29/2021 19:42:23,25.964
05/29/2021 19:43:35,25.872
05/29/2021 19:44:47,25.872
05/29/2021 19:45:58,25.948
05/29/2021 19:47:10,26.048
05/29/2021 19:48:21,35.759
05/29/2021 19:49:33,47.946
05/29/2021 19:50:46,50.157
05/29/2021 19:51:57,44.055
05/29/2021 19:53:10,28.392
05/29/2021 19:54:22,35.086
05/29/2021 19:55:34,28.046
05/29/2021 19:56:45,28.5
05/29/2021 19:57:57,33.97
05/29/2021 19:59:09,30.76
05/29/2021 20:00:22,30.58
05/29/2021 20:01:34,31.036
05/29/2021 20:02:46,30.603
05/29/2021 20:03:58,26.461
05/29/2021 20:05:10,45.484
05/29/2021 20:06:23,32.51
05/29/2021 20:07:35,30.714
05/29/2021 20:08:47,27.232
05/29/2021 20:10:00,34.348
05/29/2021 20:11:11,35.34
05/29/2021 20:12:22,24.292
05/29/2021 20:13:34,29.66
05/29/2021 20:14:46,33.128
05/29/2021 20:15:58,25.82
05/29/2021 20:17:10,27.876
05/29/2021 20:18:22,27.177
05/29/2021 20:19:34,28.288
05/29/2021 20:20:46,28.288
05/29/2021 20:21:58,25.892
05/29/2021 20:23:10,25.848
05/29/2021 20:24:23,25.86
05/29/2021 20:25:34,25.86
05/29/2021 20:26:47,25.892
05/29/2021 20:27:59,25.844
05/29/2021 20:29:11,26.448
05/29/2021 20:30:23,28.077
05/29/2021 20:31:35,26.992
05/29/2021 20:32:47,27.198
05/29/2021 20:33:59,28.134
05/29/2021 20:35:11,32.538
05/29/2021 20:36:23,32.44
05/29/2021 20:37:35,31.672
05/29/2021 20:38:47,30.776
05/29/2021 20:40:00,29.08
05/29/2021 20:41:11,29.74
05/29/2021 20:43:35,24.638
05/29/2021 20:44:47,28.28
05/29/2021 20:45:59,35.237
05/29/2021 20:47:11,32.538
05/29/2021 20:48:23,22.084
05/29/2021 20:49:35,28.42
05/29/2021 20:50:46,29.974
05/29/2021 20:51:58,24.866
05/29/2021 20:53:10,38.292
05/29/2021 20:54:21,27.147
05/29/2021 20:55:32,29.899
05/29/2021 20:56:44,29.456
05/29/2021 20:57:56,25.756
05/29/2021 20:59:08,25.696
05/29/2021 21:00:20,27.164
05/29/2021 21:01:32,25.744
05/29/2021 21:02:44,28.776
05/29/2021 21:03:55,28.976
05/29/2021 21:05:08,23.74
05/29/2021 21:06:19,28.29
05/29/2021 21:07:32,28.425
05/29/2021 21:08:44,28.377
05/29/2021 21:09:57,25.872
05/29/2021 21:11:08,25.848
05/29/2021 21:12:21,23.326
05/29/2021 21:13:32,29.617
05/29/2021 21:14:45,32.949
05/29/2021 21:15:56,28.34
05/29/2021 21:17:09,29.444
05/29/2021 21:18:20,22.926
05/29/2021 21:19:32,23.666
05/29/2021 21:20:43,34.19
05/29/2021 21:21:55,33.186
05/29/2021 21:23:07,27.476
05/29/2021 21:24:18,24.418
05/29/2021 21:25:30,28.852
05/29/2021 21:26:42,32.706
05/29/2021 21:29:05,29.564
05/29/2021 21:30:17,28.808
05/29/2021 21:31:29,29.364
05/29/2021 21:32:40,29.204
05/29/2021 21:33:52,29.56
05/29/2021 21:35:03,26.016
05/29/2021 21:36:15,26.864
05/29/2021 21:37:27,29.591
05/29/2021 21:38:40,27.409
05/29/2021 21:39:52,25.816
05/29/2021 21:40:54,25.844
05/29/2021 21:41:56,25.892
05/29/2021 21:42:58,25.788
05/29/2021 21:44:00,30.89
05/29/2021 21:45:02,26.048
05/29/2021 21:46:03,25.792
05/29/2021 21:47:05,25.896
05/29/2021 21:48:07,26
