date,value
05/29/2021 17:30:32,25.176
05/29/2021 17:31:44,25.168
05/29/2021 17:32:56,25.248
05/29/2021 17:34:08,25.024
05/29/2021 17:35:21,25.376
05/29/2021 17:36:33,29.274
05/29/2021 17:37:45,28.346
05/29/2021 17:38:57,27.565
05/29/2021 17:40:10,25.12
05/29/2021 17:41:21,25.168
05/29/2021 17:42:34,25.176
05/29/2021 17:43:45,25.32
05/29/2021 17:44:57,25.144
05/29/2021 17:46:09,25.176
05/29/2021 17:47:20,25.408
05/29/2021 17:48:33,24.968
05/29/2021 17:49:45,25.416
05/29/2021 17:50:57,25.172
05/29/2021 17:52:09,13.956
05/29/2021 17:53:21,170.864
05/29/2021 17:54:33,160.942
05/29/2021 17:55:44,159.84
05/29/2021 17:56:56,159.637
05/29/2021 17:58:08,159.92
05/29/2021 17:59:20,160.776
05/29/2021 18:00:31,167.028
05/29/2021 18:01:43,157.43
05/29/2021 18:02:55,161.46
05/29/2021 18:04:07,160.784
05/29/2021 18:05:19,26.792
05/29/2021 18:06:31,293.408
05/29/2021 18:07:43,164.334
05/29/2021 18:08:55,159.9
05/29/2021 18:10:07,19.104
05/29/2021 18:11:19,168.356
05/29/2021 18:12:31,23.028
05/29/2021 18:13:43,27.316
05/29/2021 18:14:55,25.216
05/29/2021 18:16:06,27.116
05/29/2021 18:17:18,27.348
05/29/2021 18:18:29,25.12
05/29/2021 18:19:41,25.224
05/29/2021 18:20:53,25.176
05/29/2021 18:22:05,25.024
05/29/2021 18:23:17,23.324
05/29/2021 18:24:29,29.638
05/29/2021 18:25:41,25.32
05/29/2021 18:26:52,25.024
05/29/2021 18:28:05,23.58
05/29/2021 18:29:16,36.86
05/29/2021 18:30:28,28.366
05/29/2021 18:31:40,199.412
05/29/2021 18:32:52,319.682
05/29/2021 18:34:03,22.248
05/29/2021 18:35:16,159.146
05/29/2021 18:36:28,160.414
05/29/2021 18:37:40,160.32
05/29/2021 18:40:03,300.784
05/29/2021 18:41:15,26.528
05/29/2021 18:42:27,293.112
05/29/2021 18:43:39,161.494
05/29/2021 18:44:51,158.858
05/29/2021 18:46:02,159.736
05/29/2021 18:47:14,28.498
05/29/2021 18:48:26,294.408
05/29/2021 18:49:37,160.264
05/29/2021 18:50:49,161.276
05/29/2021 18:52:01,25.176
05/29/2021 18:53:13,23.172
05/29/2021 18:54:26,27.116
05/29/2021 18:55:37,25.376
05/29/2021 18:56:49,25.12
05/29/2021 18:58:01,23.124
05/29/2021 18:59:13,27.316
05/29/2021 19:00:26,25.136
05/29/2021 19:01:38,25.32
05/29/2021 19:02:49,25.272
05/29/2021 19:04:01,23.028
05/29/2021 19:05:13,27.372
05/29/2021 19:06:25,25.272
05/29/2021 19:07:37,30.594
05/29/2021 19:08:49,25.176
05/29/2021 19:11:13,154.508
05/29/2021 19:12:25,160.832
05/29/2021 19:13:36,159.058
05/29/2021 19:14:48,163.494
05/29/2021 19:16:00,162.69
05/29/2021 19:18:23,160.016
05/29/2021 19:19:36,162.63
05/29/2021 19:20:48,161.94
05/29/2021 19:22:00,15.792
05/29/2021 19:23:11,327.664
05/29/2021 19:24:23,149.208
05/29/2021 19:25:35,26.992
05/29/2021 19:26:47,162.34
05/29/2021 19:27:59,161.269
05/29/2021 19:29:11,160.424
05/29/2021 19:30:23,160.016
05/29/2021 19:31:35,172.208
05/29/2021 19:32:47,23.124
05/29/2021 19:33:59,27.427
05/29/2021 19:35:11,25.224
05/29/2021 19:36:24,25.216
05/29/2021 19:37:35,25.776
05/29/2021 19:38:48,24.968
05/29/2021 19:39:59,24.326
05/29/2021 19:41:11,25.482
05/29/2021 19:42:23,27.172
05/29/2021 19:43:35,25.32
05/29/2021 19:44:47,25.12
05/29/2021 19:45:58,26.661
05/29/2021 19:47:10,25.424
05/29/2021 19:48:21,22.972
05/29/2021 19:49:33,27.316
05/29/2021 19:50:46,13.08
05/29/2021 19:51:57,231.428
05/29/2021 19:53:10,160.32
05/29/2021 19:54:22,183.862
05/29/2021 19:55:33,189.004
05/29/2021 19:56:46,68.108
