date,value
05/01/2021 18:10:38,13.532
05/01/2021 18:11:40,13.958
05/01/2021 18:12:41,13.548
05/01/2021 18:13:45,21.638
05/01/2021 18:14:48,17.154
05/01/2021 18:15:51,15.41
05/01/2021 18:21:06,17.154
05/01/2021 18:22:12,17.056
05/01/2021 18:23:15,16.556
05/01/2021 18:23:16,18.182
05/01/2021 18:24:21,17.552
05/01/2021 18:24:22,18.262
05/01/2021 18:25:26,13.588
05/01/2021 18:25:27,13.958
05/01/2021 18:30:39,17.166
05/01/2021 18:31:45,14.09
05/01/2021 18:32:50,15.584
05/01/2021 18:33:58,15.584
05/01/2021 18:35:03,14.132
05/01/2021 18:36:07,14.008
05/01/2021 18:37:14,14.198
05/01/2021 18:38:19,12.822
05/01/2021 18:39:24,19.664
05/01/2021 18:44:42,12.898
05/01/2021 18:45:48,18.486
05/01/2021 18:45:48,17.668
05/01/2021 18:51:04,13.816
05/01/2021 18:52:09,13.85
05/01/2021 18:53:14,12.782
05/01/2021 18:54:19,15.072
05/01/2021 18:55:24,12.256
05/01/2021 18:56:30,21.818
05/01/2021 18:57:35,18.708
05/01/2021 19:02:49,18.024
05/01/2021 19:02:50,18.558
05/01/2021 19:03:55,16.088
05/01/2021 19:03:56,18.558
05/01/2021 19:05:04,18.502
05/01/2021 19:05:05,16.83
05/01/2021 19:10:18,37.138
05/01/2021 19:11:23,14.038
05/01/2021 19:12:31,14.17
05/01/2021 19:13:35,14.5
05/01/2021 19:14:39,15.912
05/01/2021 19:15:45,15.912
05/01/2021 19:17:04,13.948
05/01/2021 19:18:10,14.236
05/01/2021 19:19:18,13.924
05/01/2021 19:20:23,14.156
05/01/2021 19:21:29,14.026
05/01/2021 19:22:37,19.269
05/01/2021 19:27:53,18.62
05/01/2021 19:33:16,13.868
05/01/2021 19:33:17,13.858
05/01/2021 19:33:17,13.99
05/01/2021 19:33:18,14.156
05/01/2021 19:38:35,14.344
05/01/2021 19:39:48,14.254
05/01/2021 19:40:52,12.73
05/01/2021 19:42:04,16.226
05/01/2021 19:47:24,14.014
05/01/2021 19:47:25,14.222
05/01/2021 19:52:43,13.01
05/01/2021 19:53:54,14.918
05/01/2021 19:54:58,12.794
05/01/2021 19:56:04,14.966
05/01/2021 19:57:08,13.1
05/01/2021 19:58:12,14.9
05/01/2021 19:59:17,14.462
05/01/2021 20:00:21,13.234
05/01/2021 20:01:27,19.362
05/01/2021 20:06:37,13.774
05/01/2021 20:06:37,19.468
05/01/2021 20:11:49,15.345
05/01/2021 20:12:55,14.904
05/01/2021 20:14:00,13.906
05/01/2021 20:15:05,14.17
05/01/2021 20:16:09,14.114
05/01/2021 20:17:14,14.146
