date,value
05/29/2021 02:12:21,49.081
05/29/2021 02:13:32,49.153
05/29/2021 02:14:43,48.132
05/29/2021 02:15:55,48.06
05/29/2021 02:17:07,48.112
05/29/2021 02:18:24,49.982
05/29/2021 02:19:38,49.802
05/29/2021 02:20:52,48.212
05/29/2021 02:22:05,48.096
05/29/2021 02:23:19,48.644
05/29/2021 02:24:34,48.708
05/29/2021 02:25:46,48.798
05/29/2021 02:27:02,48.056
05/29/2021 02:28:20,48.032
05/29/2021 02:29:34,48.06
05/29/2021 02:30:44,48.088
05/29/2021 02:32:00,48.064
05/29/2021 02:33:14,56.954
05/29/2021 02:34:25,66.318
05/29/2021 02:35:36,66.416
05/29/2021 02:40:31,60.477
05/29/2021 02:41:46,77.911
05/29/2021 02:43:02,64.67
05/29/2021 02:48:16,74.1035
05/29/2021 02:49:34,74.19149999999999
05/29/2021 02:50:51,61.2785
05/29/2021 02:56:18,50.97333333333333
05/29/2021 02:57:40,48.06933333333333
05/29/2021 02:59:03,50.54466666666667
05/29/2021 03:00:27,183.117
05/29/2021 03:01:50,58.3085
05/29/2021 03:03:15,60.92100000000001
05/29/2021 03:04:42,58.764
05/29/2021 03:06:10,59.41775
05/29/2021 03:07:39,58.40725
05/29/2021 03:09:06,60.25075
05/29/2021 03:10:30,59.0775
05/29/2021 03:12:03,58.30200000000001
05/29/2021 03:13:33,60.386
05/29/2021 03:14:59,65.31125
05/29/2021 03:16:25,63.20100000000001
05/29/2021 03:22:13,66.403
05/29/2021 03:23:40,66.53975
05/29/2021 03:25:06,64.50825
05/29/2021 03:26:32,144.2474
05/29/2021 03:28:01,62.11800000000001
05/29/2021 03:29:35,66.09440000000001
05/29/2021 03:31:07,61.3652
05/29/2021 03:32:37,51.83239999999999
05/29/2021 03:34:02,50.20800000000001
05/29/2021 03:35:29,48.2024
05/29/2021 03:36:56,48.728
05/29/2021 03:38:22,48.61
05/29/2021 03:39:38,51.42224999999999
05/29/2021 03:41:02,49.31466666666667
05/29/2021 03:42:25,47.44266666666667
05/29/2021 03:43:41,52.11566666666666
05/29/2021 03:45:01,48.458
05/29/2021 03:46:19,48.174
05/29/2021 03:47:39,48.174
05/29/2021 03:48:49,48.416
05/29/2021 03:50:07,52.744
05/29/2021 03:51:24,43.816
05/29/2021 03:52:42,50.196
05/29/2021 03:53:55,54.278
05/29/2021 03:55:07,58.326
05/29/2021 03:56:20,55.606
05/29/2021 03:57:34,58.334
05/29/2021 03:58:47,61.118
05/29/2021 04:00:01,51.402
05/29/2021 04:01:14,64.608
05/29/2021 04:02:28,59.49
05/29/2021 04:03:42,57.258
05/29/2021 04:04:54,63.86
05/29/2021 04:06:08,56.994
05/29/2021 04:07:19,55.422
05/29/2021 04:08:31,60.624
05/29/2021 04:09:43,55.92
05/29/2021 04:10:55,60.653
05/29/2021 04:12:08,56.858
05/29/2021 04:13:20,60.74
05/29/2021 04:14:32,52.744
05/29/2021 04:15:45,50.406
05/29/2021 04:16:58,51.603
05/29/2021 04:18:12,48.112
05/29/2021 04:19:26,48.008
05/29/2021 04:20:43,48.008
05/29/2021 04:21:58,47.984
05/29/2021 04:23:14,50.588
05/29/2021 04:24:28,51.96
05/29/2021 04:25:43,48.016
05/29/2021 04:26:58,47.984
05/29/2021 04:28:12,55.37
05/29/2021 04:29:27,47.912
05/29/2021 04:30:43,47.904
05/29/2021 04:31:59,50.665
05/29/2021 04:33:13,47.96
05/29/2021 04:34:28,57.736
05/29/2021 04:35:43,51.398
05/29/2021 04:36:58,55.263
05/29/2021 04:38:15,92.628
05/29/2021 04:39:26,82.47
05/29/2021 04:40:37,82.496
05/29/2021 04:45:35,59.832
05/29/2021 04:46:54,61.788
05/29/2021 04:48:14,69.094
05/29/2021 04:53:31,54.304
05/29/2021 04:54:51,54.83150000000001
05/29/2021 04:56:11,50.384
05/29/2021 04:57:34,464.805
05/29/2021 04:58:52,464.805
05/29/2021 05:00:00,48.444
05/29/2021 05:01:15,49.765
05/29/2021 05:02:30,52.084
05/29/2021 05:03:46,48.516
05/29/2021 05:05:04,48.768
05/29/2021 05:06:26,48.768
05/29/2021 05:07:36,48.728
05/29/2021 05:08:52,49.798
05/29/2021 05:10:06,50.94
05/29/2021 05:11:20,51.679
05/29/2021 05:12:35,51.759
05/29/2021 05:13:51,48.876
05/29/2021 05:15:07,63.274
05/29/2021 05:16:24,60.617
05/29/2021 05:17:43,57.391
05/29/2021 05:18:58,60.418
05/29/2021 05:20:13,57.724
05/29/2021 05:21:29,62.387
05/29/2021 05:22:44,58.63
05/29/2021 05:24:00,54.174
05/29/2021 05:25:16,60.006
05/29/2021 05:26:32,57.19
05/29/2021 05:27:49,55.781
05/29/2021 05:29:08,60.012
05/29/2021 05:30:24,59.093
05/29/2021 05:31:39,57.254
05/29/2021 05:32:55,56.797
05/29/2021 05:34:12,57.382
05/29/2021 05:35:28,54.601
05/29/2021 05:36:44,49.427
05/29/2021 05:38:01,50.13
05/29/2021 05:39:17,51.642
05/29/2021 05:40:35,49.349
05/29/2021 05:41:51,50.849
05/29/2021 05:43:04,47.856
05/29/2021 05:44:24,50.109
05/29/2021 05:45:42,52.656
05/29/2021 05:47:00,47.992
05/29/2021 05:48:17,47.956
05/29/2021 05:49:33,50.188
05/29/2021 05:50:49,50.568
05/29/2021 05:52:07,48.168
05/29/2021 05:53:24,48.136
05/29/2021 05:54:40,50.515
05/29/2021 05:55:56,53.603
05/29/2021 05:57:13,59.936
05/29/2021 05:58:29,59.135
05/29/2021 05:59:46,59.519
05/29/2021 06:01:02,63.532
05/29/2021 06:02:13,62.723
05/29/2021 06:03:23,63.959
05/29/2021 06:08:17,60.327
05/29/2021 06:09:40,59.69
05/29/2021 06:11:00,56.62
05/29/2021 06:12:19,250.9575
05/29/2021 06:13:34,458.7165
05/29/2021 06:14:49,53.991
05/29/2021 06:16:04,50.154
05/29/2021 06:17:20,49.58
05/29/2021 06:18:38,48.644
05/29/2021 06:20:00,48.644
05/29/2021 06:21:20,50.204
05/29/2021 06:22:40,48.568
05/29/2021 06:23:59,48.544
05/29/2021 06:25:17,48.464
05/29/2021 06:26:39,49.51
05/29/2021 06:27:55,48.656
05/29/2021 06:29:12,48.464
05/29/2021 06:30:30,49.41
05/29/2021 06:31:52,61.434
05/29/2021 06:33:10,48.008
05/29/2021 06:34:28,50.73
05/29/2021 06:35:45,53.115
05/29/2021 06:37:02,57.236
05/29/2021 06:38:23,59.384
05/29/2021 06:39:41,56.253
05/29/2021 06:40:58,58.768
05/29/2021 06:42:16,56.326
05/29/2021 06:43:35,54.672
05/29/2021 06:44:52,61.867
05/29/2021 06:46:12,55.686
05/29/2021 06:47:32,55.894
05/29/2021 06:48:52,57.254
05/29/2021 06:50:11,59.532
05/29/2021 06:51:28,55.798
05/29/2021 06:52:46,61.674
05/29/2021 06:54:03,60.618
05/29/2021 06:55:25,105.482
05/29/2021 06:56:36,194.954
05/29/2021 07:01:33,50.188
05/29/2021 07:02:55,111.077
05/29/2021 07:04:10,126.858
05/29/2021 07:09:19,50.336
05/29/2021 07:10:36,50.064
05/29/2021 07:11:55,48.25
05/29/2021 07:13:16,399.505
05/29/2021 07:14:34,50.104
05/29/2021 07:15:52,54.5855
05/29/2021 07:17:04,58.254
05/29/2021 07:18:29,55.979
05/29/2021 07:19:55,57.0055
05/29/2021 07:21:10,60.4385
05/29/2021 07:22:59,56.045
05/29/2021 07:24:27,59.508
05/29/2021 07:25:52,57.7485
05/29/2021 07:27:20,55.54
05/29/2021 07:28:38,56.1665
05/29/2021 07:29:55,55.503
05/29/2021 07:31:14,57.182
05/29/2021 07:32:38,57.135
05/29/2021 07:34:03,57.135
05/29/2021 07:35:19,55.909
05/29/2021 07:36:38,50.85
05/29/2021 07:37:58,50.717
05/29/2021 07:39:18,51.726
05/29/2021 07:40:38,53.568
05/29/2021 07:42:04,50.444
05/29/2021 07:43:24,47.956
05/29/2021 07:44:44,50.329
05/29/2021 07:46:04,49.456
05/29/2021 07:47:27,48.24
05/29/2021 07:48:48,49.294
05/29/2021 07:50:07,47.856
05/29/2021 07:51:27,48.24
05/29/2021 07:52:47,48.06
05/29/2021 07:54:07,47.76
05/29/2021 07:55:30,52.528
05/29/2021 07:56:50,55.31
05/29/2021 07:58:10,58.09
05/29/2021 07:59:29,58.461
05/29/2021 08:04:32,59.489
05/29/2021 08:05:47,59.164
05/29/2021 08:07:15,57.13
05/29/2021 08:12:37,58.5805
05/29/2021 08:14:06,55.51900000000001
05/29/2021 08:15:25,53.9435
05/29/2021 08:16:45,132.8503333333333
05/29/2021 08:18:04,48.43733333333333
05/29/2021 08:23:34,49.19766666666666
05/29/2021 08:25:01,57.816
05/29/2021 08:26:36,49.256
05/29/2021 08:27:51,286.5763333333334
05/29/2021 08:29:11,55.44733333333333
05/29/2021 08:30:31,50.50833333333333
05/29/2021 08:31:53,48.574
05/29/2021 08:33:13,48.574
05/29/2021 08:34:23,50.95
05/29/2021 08:39:46,55.901
05/29/2021 08:41:13,57.866
05/29/2021 08:42:43,53.536
05/29/2021 08:44:04,760.9090000000001
05/29/2021 08:49:14,51.981
05/29/2021 08:50:34,59.136
05/29/2021 08:52:01,60.408
05/29/2021 08:53:21,204.1896666666667
05/29/2021 08:54:41,52.54366666666667
05/29/2021 08:56:01,54.18866666666667
05/29/2021 08:57:22,50.7495
05/29/2021 08:58:41,49.8385
05/29/2021 09:00:00,48.668
05/29/2021 09:01:23,48.668
05/29/2021 09:02:32,49.686
05/29/2021 09:03:57,48.733
05/29/2021 09:05:21,48.733
05/29/2021 09:06:39,53.265
05/29/2021 09:07:59,53.137
05/29/2021 09:09:18,48.336
05/29/2021 09:10:37,50.91
05/29/2021 09:11:57,51.976
05/29/2021 09:13:24,49.514
05/29/2021 09:14:38,49.689
05/29/2021 09:16:00,54.584
05/29/2021 09:17:21,55.588
05/29/2021 09:18:44,54.763
05/29/2021 09:20:05,60.348
05/29/2021 09:25:10,70.338
05/29/2021 09:26:26,58.454
05/29/2021 09:27:56,60.998
05/29/2021 09:33:29,56.34050000000001
05/29/2021 09:35:00,56.675
05/29/2021 09:36:20,56.8
05/29/2021 09:37:40,729.442
05/29/2021 09:39:01,47.94533333333334
05/29/2021 09:40:22,52.993
05/29/2021 09:41:42,52.993
05/29/2021 09:42:53,55.6355
05/29/2021 09:44:11,48.568
05/29/2021 09:49:14,48.392
05/29/2021 09:50:40,48.16
05/29/2021 09:52:05,48.264
05/29/2021 09:57:22,57.434
05/29/2021 09:58:43,58.195
05/29/2021 10:00:16,53.8145
05/29/2021 10:01:34,378.8723333333333
05/29/2021 10:02:55,54.28166666666667
05/29/2021 10:08:38,54.61066666666667
05/29/2021 10:10:05,78.878
05/29/2021 10:11:32,57.3455
05/29/2021 10:12:59,655.1486666666667
05/29/2021 10:14:11,57.923
05/29/2021 10:19:55,60.91133333333332
05/29/2021 10:21:33,59.538
05/29/2021 10:23:18,64.649
05/29/2021 10:25:11,54.6085
05/29/2021 10:26:34,52.08374999999999
05/29/2021 10:27:58,49.9355
05/29/2021 10:29:24,50.03266666666667
05/29/2021 10:30:48,53.59800000000001
05/29/2021 10:32:11,49.18533333333333
05/29/2021 10:33:37,49.18533333333333
05/29/2021 10:34:48,49.85
05/29/2021 10:35:58,49.322
05/29/2021 10:37:16,49.826
05/29/2021 10:38:32,60.238
05/29/2021 10:40:04,60.238
05/29/2021 10:41:23,55.63
05/29/2021 10:46:34,58.722
05/29/2021 10:48:01,58.786
05/29/2021 10:49:26,56.592
05/29/2021 10:54:53,54.0645
05/29/2021 10:56:14,56.14
05/29/2021 10:57:48,50.7585
05/29/2021 10:59:10,623.624
05/29/2021 11:00:30,51.205
05/29/2021 11:01:51,50.927
05/29/2021 11:03:12,50.927
05/29/2021 11:04:23,48.312
05/29/2021 11:09:30,48.824
05/29/2021 11:10:54,48.832
05/29/2021 11:12:15,48.168
05/29/2021 11:17:59,55.0695
05/29/2021 11:19:18,62.635
05/29/2021 11:20:38,59.16
05/29/2021 11:21:57,579.1909999999999
05/29/2021 11:27:28,60.536
05/29/2021 11:29:28,58.00066666666667
05/29/2021 11:30:53,53.58033333333333
05/29/2021 11:32:20,55.507
05/29/2021 11:33:31,55.507
05/29/2021 11:39:05,49.81999999999999
05/29/2021 11:40:30,48.82266666666667
05/29/2021 11:41:55,49.71466666666667
05/29/2021 11:43:23,325.8496666666667
05/29/2021 11:44:48,325.8496666666667
05/29/2021 11:46:00,49.35333333333333
05/29/2021 11:47:21,47.61866666666666
05/29/2021 11:48:42,48.70866666666667
05/29/2021 11:50:06,50.901
05/29/2021 11:51:27,49.8275
05/29/2021 11:52:47,48.628
05/29/2021 11:54:11,48.628
05/29/2021 11:55:22,49.606
05/29/2021 11:56:36,48.256
