date,value
05/26/2021 03:24:21,3.3333
05/26/2021 03:25:22,3.3333
05/26/2021 03:26:24,3.3333
05/26/2021 03:27:25,3.3333
05/26/2021 03:28:27,3.3333
05/26/2021 03:29:29,3.8983
05/26/2021 03:30:30,3.7705
05/26/2021 03:31:33,3.3333
05/26/2021 03:32:35,4.1667
05/26/2021 03:33:37,3.3333
05/26/2021 03:34:39,3.6667
05/26/2021 03:40:50,2.623
05/26/2021 03:41:52,4.1667
05/26/2021 03:42:53,2
05/26/2021 03:43:57,3.3333
05/26/2021 03:45:04,3.5
05/26/2021 03:46:07,6.3333
05/26/2021 03:47:08,3.6667
05/26/2021 03:48:11,3.1667
05/26/2021 03:49:14,1.8333
05/26/2021 03:50:16,3.5
05/26/2021 03:51:19,3.6667
05/26/2021 03:52:22,3.3333
05/26/2021 03:53:25,4.1667
05/26/2021 03:55:35,3.2787
05/26/2021 03:56:38,4.2373
05/26/2021 03:57:40,3.3333
05/26/2021 03:58:43,3.1667
05/26/2021 03:59:46,3.3333
05/26/2021 04:00:49,3.3333
05/26/2021 04:01:52,3.2203
05/26/2021 04:02:59,3.6393
05/26/2021 04:04:06,2.6667
05/26/2021 04:05:09,3.5
05/26/2021 04:06:12,3.5593
05/26/2021 04:07:15,4.0984
05/26/2021 04:08:18,3.6667
05/26/2021 04:09:20,3.5
05/26/2021 04:10:22,3.6667
05/26/2021 04:11:25,3.5
05/26/2021 04:12:28,5.6667
05/26/2021 04:13:29,4.8333
05/26/2021 04:14:30,4.5902
05/26/2021 04:18:36,4.1667
05/26/2021 04:19:44,3.5
05/26/2021 04:20:51,3.3333
05/26/2021 04:21:58,4.1667
05/26/2021 04:23:05,3.3333
05/26/2021 04:24:12,2.5
05/26/2021 04:25:16,3.3333
05/26/2021 04:26:19,3.2203
05/26/2021 04:27:23,3.2787
05/26/2021 04:28:26,3.1667
05/26/2021 04:29:30,3.3333
05/26/2021 04:30:37,3.1667
05/26/2021 04:31:42,3.3333
05/26/2021 04:32:46,3.1667
05/26/2021 04:33:52,4.1667
05/26/2021 04:34:59,3.3333
05/26/2021 04:36:06,3.3333
05/26/2021 04:38:10,3.5
05/26/2021 04:39:16,4.3333
05/26/2021 04:43:25,4.0984
05/26/2021 04:44:32,3.5
05/26/2021 04:45:39,3.5
05/26/2021 04:46:47,1.8333
05/26/2021 04:47:52,3.8333
05/26/2021 04:48:54,24.6667
05/26/2021 04:49:57,2.8333
05/26/2021 04:51:02,4.1667
05/26/2021 04:52:07,2.6667
05/26/2021 04:53:12,3.4426
05/26/2021 04:54:17,3.3333
05/26/2021 04:55:22,3.2203
05/26/2021 04:56:27,3.3333
05/26/2021 04:57:33,3.3333
05/26/2021 04:58:39,3.3333
05/26/2021 04:59:45,2
05/26/2021 05:00:50,3.6667
05/26/2021 05:01:56,4.3333
05/26/2021 05:03:02,2.5
05/26/2021 05:04:07,6.3333
05/26/2021 05:05:09,2.8333
05/26/2021 05:06:14,4.1667
05/26/2021 05:07:19,4.3333
05/26/2021 05:08:24,5.7627
05/26/2021 05:09:27,3.6066
05/26/2021 05:10:32,0.4918
05/26/2021 05:11:36,3.5593
05/26/2021 05:13:44,3.5
05/26/2021 05:14:47,4.7541
05/26/2021 05:15:49,4.2373
05/26/2021 05:16:54,0.4918
05/26/2021 05:17:59,3.5297
05/26/2021 05:19:04,4.2623
05/26/2021 05:21:11,2
05/26/2021 05:22:16,3.3898
05/26/2021 05:23:21,3.5
05/26/2021 05:24:27,4.1667
05/26/2021 05:25:32,2.6667
05/26/2021 05:26:37,2.8333
05/26/2021 05:27:42,4
05/26/2021 05:28:48,2.5
05/26/2021 05:29:54,3.3333
05/26/2021 05:30:59,3.388
05/26/2021 05:32:02,3.3898
05/26/2021 05:33:07,3.3333
05/26/2021 05:34:13,3.3333
05/26/2021 05:35:18,6.3333
05/26/2021 05:36:20,2.623
05/26/2021 05:37:26,3.7288
05/26/2021 05:38:29,3.5
05/26/2021 05:39:34,3.6667
05/26/2021 05:40:39,4
05/26/2021 05:41:44,1.4754
05/26/2021 05:43:52,3.5
05/26/2021 05:44:57,2.6667
05/26/2021 05:48:07,1.3333
05/26/2021 05:49:09,2.6667
05/26/2021 05:50:12,5.0847
05/26/2021 05:54:24,4.8333
05/26/2021 05:55:27,3.3333
05/26/2021 05:56:32,3.3333
05/26/2021 05:57:37,3.2787
05/26/2021 05:58:44,3.1667
05/26/2021 05:59:50,3.3898
05/26/2021 06:00:55,3.1148
05/26/2021 06:02:02,3.4426
05/26/2021 06:03:05,4.8333
05/26/2021 06:04:11,2.9508
05/26/2021 06:05:15,4.2373
05/26/2021 06:07:20,1.3333
05/26/2021 06:08:27,3.5
05/26/2021 06:09:33,4.3333
05/26/2021 06:10:36,5.7377
05/26/2021 06:11:39,3.7288
05/26/2021 06:15:52,4.0984
05/26/2021 06:16:56,2.9664
05/26/2021 06:17:59,2.4836
