date,value
05/01/2021 18:10:38,0.339
05/01/2021 18:11:40,0.3279
05/01/2021 18:12:41,16.4407
05/01/2021 18:13:45,64.3333
05/01/2021 18:14:48,61
05/01/2021 18:15:51,78.8333
05/01/2021 18:21:06,33.9344
05/01/2021 18:22:12,47.1667
05/01/2021 18:23:15,67.5
05/01/2021 18:23:16,32.1311
05/01/2021 18:24:21,14.9153
05/01/2021 18:24:22,48.6667
05/01/2021 18:25:26,0.3279
05/01/2021 18:25:27,0.3333
05/01/2021 18:30:39,0.5085
05/01/2021 18:31:45,0.5085
05/01/2021 18:32:50,0.5
05/01/2021 18:33:58,0.5
05/01/2021 18:35:03,0.339
05/01/2021 18:36:07,0.3279
05/01/2021 18:37:14,0.3333
05/01/2021 18:38:19,35.5
05/01/2021 18:39:24,97.4576
05/01/2021 18:44:42,24.9153
05/01/2021 18:45:48,50.3279
05/01/2021 18:45:48,20.1639
05/01/2021 18:51:04,0.1667
05/01/2021 18:52:09,0.3333
05/01/2021 18:53:14,0.339
05/01/2021 18:54:19,0.3175
05/01/2021 18:55:24,29.4828
05/01/2021 18:56:30,61.3115
05/01/2021 18:57:35,70.678
05/01/2021 19:02:49,68.5
05/01/2021 19:02:50,37.8333
05/01/2021 19:03:55,61.9672
05/01/2021 19:03:56,37.8333
05/01/2021 19:05:04,0.3333
05/01/2021 19:05:05,0.4918
05/01/2021 19:10:18,0.6667
05/01/2021 19:11:23,0.3279
05/01/2021 19:12:31,0.5
05/01/2021 19:13:35,0.3333
05/01/2021 19:14:39,0.3333
05/01/2021 19:15:45,0.5
05/01/2021 19:17:04,0.3333
05/01/2021 19:18:10,0.3333
05/01/2021 19:19:18,0.5
05/01/2021 19:20:23,0.3333
05/01/2021 19:21:29,0.3333
05/01/2021 19:22:37,79.661
05/01/2021 19:27:53,72.7119
05/01/2021 19:27:54,73.4483
05/01/2021 19:33:16,0.3333
05/01/2021 19:33:17,0.5
05/01/2021 19:33:17,0.3279
05/01/2021 19:33:18,0.3333
05/01/2021 19:38:35,0.3279
05/01/2021 19:39:48,0.5
05/01/2021 19:40:52,0.339
05/01/2021 19:42:04,78.1967
05/01/2021 19:47:24,0.3333
05/01/2021 19:47:25,0.1667
05/01/2021 19:52:43,0.3333
05/01/2021 19:53:54,0.3279
05/01/2021 19:54:58,0.1695
05/01/2021 19:56:04,0.3226
05/01/2021 19:57:08,0.3448
05/01/2021 19:58:12,0.3226
05/01/2021 19:59:17,0.339
05/01/2021 20:00:21,35.5
05/01/2021 20:01:27,89.8333
05/01/2021 20:06:37,0.339
05/01/2021 20:06:37,17.377
05/01/2021 20:11:49,0.3333
05/01/2021 20:12:55,0.3448
05/01/2021 20:14:00,0.3279
05/01/2021 20:15:05,0.3333
05/01/2021 20:16:09,0.1667
