date,value
05/26/2021 03:24:21,45.804
05/26/2021 03:25:22,26.4
05/26/2021 03:26:24,25.992
05/26/2021 03:27:25,26.36
05/26/2021 03:28:27,31.902
05/26/2021 03:29:29,155.864
05/26/2021 03:30:30,89.296
05/26/2021 03:31:33,36.768
05/26/2021 03:32:35,33.388
05/26/2021 03:33:37,42.076
05/26/2021 03:34:39,40.152
05/26/2021 03:40:50,33.208
05/26/2021 03:41:52,33.77
05/26/2021 03:42:53,35.27
05/26/2021 03:43:57,33.806
05/26/2021 03:45:04,28.474
05/26/2021 03:46:07,36.004
05/26/2021 03:47:08,30.8
05/26/2021 03:48:11,31.168
05/26/2021 03:49:14,24.232
05/26/2021 03:50:16,33.908
05/26/2021 03:51:19,32.536
05/26/2021 03:52:22,37.304
05/26/2021 03:53:25,23.724
05/26/2021 03:55:35,27.332
05/26/2021 03:56:38,33.984
05/26/2021 03:57:40,26.626
05/26/2021 03:58:43,26.2
05/26/2021 03:59:46,26
05/26/2021 04:00:49,26.08
05/26/2021 04:01:52,26.152
05/26/2021 04:02:59,26.276
05/26/2021 04:04:06,33.776
05/26/2021 04:05:09,33.556
05/26/2021 04:06:12,40.876
05/26/2021 04:07:15,36.144
05/26/2021 04:08:18,21.83
05/26/2021 04:09:20,46.444
05/26/2021 04:10:22,36.414
05/26/2021 04:11:25,30.396
05/26/2021 04:12:28,31.94
05/26/2021 04:13:29,33.668
05/26/2021 04:14:30,30.964
05/26/2021 04:18:36,31.224
05/26/2021 04:19:44,34.128
05/26/2021 04:20:51,26.376
05/26/2021 04:21:58,40.272
05/26/2021 04:23:05,29.648
05/26/2021 04:24:12,25.632
05/26/2021 04:25:16,25.944
05/26/2021 04:26:19,26.144
05/26/2021 04:27:23,25.848
05/26/2021 04:28:26,30.258
05/26/2021 04:29:30,31.054
05/26/2021 04:30:37,26.048
05/26/2021 04:31:42,30.584
05/26/2021 04:32:46,28.076
05/26/2021 04:33:52,27.102
05/26/2021 04:34:59,34.534
05/26/2021 04:36:06,41.394
05/26/2021 04:38:10,35.736
05/26/2021 04:39:16,36.258
05/26/2021 04:43:25,29.932
05/26/2021 04:44:32,30.128
05/26/2021 04:45:39,29.372
05/26/2021 04:46:47,31.288
05/26/2021 04:47:52,41.12
05/26/2021 04:48:54,34.536
05/26/2021 04:49:57,33.926
05/26/2021 04:51:02,27.296
05/26/2021 04:52:07,37.184
05/26/2021 04:53:12,29.932
05/26/2021 04:54:17,26.048
05/26/2021 04:55:22,25.696
05/26/2021 04:56:27,26.048
05/26/2021 04:57:33,33.144
05/26/2021 04:58:39,25.992
05/26/2021 04:59:45,22.724
05/26/2021 05:00:50,39.64
05/26/2021 05:01:56,33.324
05/26/2021 05:03:02,21.1
05/26/2021 05:04:07,34.66
05/26/2021 05:05:09,33.688
05/26/2021 05:06:14,30.49
05/26/2021 05:07:19,27.29
05/26/2021 05:08:24,33.4
05/26/2021 05:09:27,36.864
05/26/2021 05:10:32,27.704
05/26/2021 05:11:36,36.148
05/26/2021 05:13:44,39.348
05/26/2021 05:14:47,26.436
05/26/2021 05:15:49,33.916
05/26/2021 05:16:54,24.176
05/26/2021 05:17:59,33.352
05/26/2021 05:19:04,34.754
05/26/2021 05:21:11,24.592
05/26/2021 05:22:16,37.12
05/26/2021 05:23:21,33.52
05/26/2021 05:24:27,26.74
05/26/2021 05:25:32,36.332
05/26/2021 05:26:37,33.232
05/26/2021 05:27:42,30.908
05/26/2021 05:28:48,25.792
05/26/2021 05:29:54,32.532
05/26/2021 05:30:59,38.862
05/26/2021 05:32:02,27.956
05/26/2021 05:33:07,21.904
05/26/2021 05:34:13,38.132
05/26/2021 05:35:18,26.252
05/26/2021 05:36:20,36.592
05/26/2021 05:37:26,38.408
05/26/2021 05:38:29,36.056
05/26/2021 05:39:34,32.696
05/26/2021 05:40:39,27.608
05/26/2021 05:41:44,24.204
05/26/2021 05:43:52,33.8
05/26/2021 05:44:57,31.424
05/26/2021 05:48:07,45.008
05/26/2021 05:49:09,39.432
05/26/2021 05:50:12,35.992
05/26/2021 05:54:24,43.556
05/26/2021 05:55:27,37.318
05/26/2021 05:56:32,33.068
05/26/2021 05:57:37,33.222
05/26/2021 05:58:44,27.69
05/26/2021 05:59:50,30.502
05/26/2021 06:00:55,34.942
05/26/2021 06:02:02,40.076
05/26/2021 06:03:05,35.36
05/26/2021 06:04:11,46.09
05/26/2021 06:05:15,48.898
05/26/2021 06:07:20,29.58
05/26/2021 06:08:27,37.96
05/26/2021 06:09:33,41.96
05/26/2021 06:10:36,39.744
05/26/2021 06:11:39,54.914
05/26/2021 06:15:52,49.65
05/26/2021 06:16:56,54.362
05/26/2021 06:17:59,61.495
