date,value
05/26/2021 03:24:17,48.056
05/26/2021 03:25:19,48.056
05/26/2021 03:26:21,48.398
05/26/2021 03:27:22,48.328
05/26/2021 03:28:24,47.68
05/26/2021 03:29:27,48.328
05/26/2021 03:30:30,48.16
05/26/2021 03:31:34,55.112
05/26/2021 03:32:36,76.768
05/26/2021 03:33:37,79.696
05/26/2021 03:37:44,59.314
05/26/2021 03:38:48,58.118
05/26/2021 03:39:50,59.442
05/26/2021 03:40:54,49.712
05/26/2021 03:41:58,1375.149
05/26/2021 03:43:00,113.542
05/26/2021 03:44:01,109.11
05/26/2021 03:45:03,108.142
05/26/2021 03:46:05,110.478
05/26/2021 03:50:14,109.928
05/26/2021 03:51:17,110.614
05/26/2021 03:52:20,57.219
05/26/2021 03:53:24,58.11
05/26/2021 03:57:34,100.203
05/26/2021 03:58:36,105.866
05/26/2021 03:59:40,105.519
05/26/2021 04:00:43,100.322
05/26/2021 04:04:55,157.086
05/26/2021 04:05:58,164.647
05/26/2021 04:07:01,191.348
