date,value
05/04/2021 00:02:33,14.08
05/04/2021 00:03:34,15.571
05/04/2021 00:04:36,15.571
05/04/2021 00:05:38,15.731
05/04/2021 00:06:41,15.731
05/04/2021 00:07:40,15.418
05/04/2021 00:08:43,19.465
05/04/2021 00:09:46,19.465
05/04/2021 00:10:51,19.297
05/04/2021 00:11:57,20.086
05/04/2021 00:17:15,40.36199999999999
05/04/2021 00:18:24,41.998
05/04/2021 00:19:32,41.998
05/04/2021 00:36:09,27.71
05/04/2021 00:38:19,18.743
05/04/2021 00:43:40,37.718
05/04/2021 00:44:48,37.718
05/04/2021 00:50:03,14.218
05/04/2021 00:51:11,12.298
05/04/2021 00:52:20,18.508
05/04/2021 00:53:29,14.218
05/04/2021 00:54:38,14.128
05/04/2021 00:55:46,15.404
05/04/2021 00:56:56,15.404
05/04/2021 00:58:08,13.954
05/04/2021 00:59:19,14.086
05/04/2021 01:00:29,16.262
05/04/2021 01:01:42,16.262
05/04/2021 01:02:51,16.19
05/04/2021 01:04:06,14.02
05/04/2021 01:05:18,17.773
05/04/2021 01:06:29,15.728
05/04/2021 01:07:40,14.392
05/04/2021 01:08:53,14.392
05/04/2021 01:12:26,17.144
05/04/2021 01:12:53,17.144
05/04/2021 01:14:17,14.615
05/04/2021 01:16:06,15.224
05/04/2021 01:17:23,14.67
05/04/2021 01:18:35,14.67
05/04/2021 01:19:47,13.504
05/04/2021 01:21:01,15.006
05/04/2021 01:22:16,13.612
05/04/2021 01:25:09,202.381
05/04/2021 01:26:26,24.282
05/04/2021 01:31:48,58.3
05/04/2021 01:37:10,14.434
05/04/2021 01:39:40,14.104
05/04/2021 01:49:48,14.214
05/04/2021 01:50:44,14.084
05/04/2021 01:54:54,594715.41
05/04/2021 01:56:09,14.07
