date,value
06/10/2021 12:01:48,47.88
06/10/2021 12:03:00,51.772
06/10/2021 12:04:11,48.108
06/10/2021 12:05:24,48.032
06/10/2021 12:06:38,47.984
06/10/2021 12:07:52,58.507
06/10/2021 12:09:08,53.044
06/10/2021 12:10:21,48.348
06/10/2021 12:11:44,48.056
06/10/2021 12:12:58,48.056
06/10/2021 12:14:13,48.164
06/10/2021 12:15:34,48.008
06/10/2021 12:16:47,47.96
06/10/2021 12:18:00,47.96
06/10/2021 12:19:13,49.245
06/10/2021 12:20:28,57.081
06/10/2021 12:21:41,60.744
06/10/2021 12:22:55,58.192
06/10/2021 12:24:08,68.51
06/10/2021 12:25:22,59.448
06/10/2021 12:26:36,56.979
06/10/2021 12:27:49,62.8
06/10/2021 12:29:01,76.902
06/10/2021 12:30:17,54.994
06/10/2021 12:31:31,55.671
06/10/2021 12:32:46,58.238
06/10/2021 12:34:00,62.728
06/10/2021 12:35:15,56.476
06/10/2021 12:36:29,57.392
06/10/2021 12:37:44,59.541
06/10/2021 12:38:58,58.693
06/10/2021 12:40:12,60.627
06/10/2021 12:41:27,60.39
06/10/2021 12:42:45,56.727
06/10/2021 12:44:03,53.148
06/10/2021 12:45:15,48.244
06/10/2021 12:46:28,48.064
06/10/2021 12:47:41,48.064
06/10/2021 12:48:54,48.192
06/10/2021 12:50:07,47.856
06/10/2021 12:51:21,48.032
06/10/2021 12:52:34,48.108
06/10/2021 12:53:46,49.146
06/10/2021 12:55:00,50.292
06/10/2021 12:56:18,59.053
06/10/2021 12:57:34,53.737
06/10/2021 12:58:49,56.549
06/10/2021 13:00:06,54.09
06/10/2021 13:01:22,53.914
06/10/2021 13:02:38,54.034
06/10/2021 13:03:51,57.753
06/10/2021 13:05:06,58.326
06/10/2021 13:06:22,62.908
06/10/2021 13:07:36,62.644
06/10/2021 13:08:55,59.97
06/10/2021 13:10:19,55.546
06/10/2021 13:11:43,55.618
06/10/2021 13:13:06,55.646
06/10/2021 13:14:18,78.934
06/10/2021 13:15:32,207.083
06/10/2021 13:16:45,224.292
06/10/2021 13:17:57,95.597
06/10/2021 13:23:04,59.252
06/10/2021 13:24:30,51.587
06/10/2021 13:25:52,48.036
