date,value
05/06/2021 02:53:58,13.676
05/06/2021 02:54:59,13.892
05/06/2021 02:56:01,13.612
05/06/2021 02:57:06,15.116
05/06/2021 02:58:09,13.892
05/06/2021 02:59:13,13.568
05/06/2021 03:00:17,13.702
05/06/2021 03:01:22,13.48
05/06/2021 03:02:25,16.49
05/06/2021 03:03:28,16.778
05/06/2021 03:04:35,13.834
05/06/2021 03:05:39,13.844
05/06/2021 03:08:47,17.571
05/06/2021 03:09:51,19.424
05/06/2021 03:15:11,34.216
05/06/2021 03:16:20,34.436
05/06/2021 03:17:25,37.837
05/06/2021 03:18:30,35.561
05/06/2021 03:19:36,28.251
05/06/2021 03:24:48,14.11
05/06/2021 03:25:55,13.622
05/06/2021 03:27:05,13.532
05/06/2021 03:28:15,16.012
05/06/2021 03:29:35,13.636
05/06/2021 03:30:50,13.546
05/06/2021 03:32:00,13.546
05/06/2021 03:33:09,14.024
05/06/2021 03:34:20,13.532
05/06/2021 03:35:30,13.646
05/06/2021 03:36:43,15.666
05/06/2021 03:37:55,14.918
05/06/2021 03:39:05,16.219
05/06/2021 03:40:21,20.832
05/06/2021 03:41:31,19.173
05/06/2021 03:42:42,18.942
05/06/2021 03:43:51,15.416
05/06/2021 03:49:10,33.195
05/06/2021 03:50:25,32.642
05/06/2021 03:55:47,14.753
05/06/2021 03:56:57,14.104
05/06/2021 03:58:08,14.056
05/06/2021 03:59:21,13.982
05/06/2021 04:00:32,14.434
05/06/2021 04:01:43,15.508
05/06/2021 04:02:52,15.975
05/06/2021 04:04:05,16.362
05/06/2021 04:05:17,17.048
05/06/2021 04:06:28,19.823
05/06/2021 04:07:39,20.031
05/06/2021 04:13:02,28.056
05/06/2021 04:18:25,14.212
05/06/2021 04:19:40,14.146
05/06/2021 04:20:59,13.982
05/06/2021 04:22:15,15.992
05/06/2021 04:23:30,13.916
05/06/2021 04:24:43,18.5
05/06/2021 04:25:53,18.5
05/06/2021 04:31:13,34.967
05/06/2021 04:32:24,39.546
05/06/2021 04:33:36,29.328
05/06/2021 04:39:02,14.042
05/06/2021 04:40:18,14.074
05/06/2021 04:41:32,16.402
05/06/2021 04:42:57,15.824
05/06/2021 04:44:14,14.264
05/06/2021 04:45:30,20.37
05/06/2021 04:46:48,16.785
05/06/2021 04:52:16,35.011
05/06/2021 04:53:36,37.761
05/06/2021 04:54:50,39.16500000000001
05/06/2021 04:56:06,37.782
05/06/2021 04:57:22,18.413
05/06/2021 05:02:48,19.998
05/06/2021 05:08:15,31.564
05/06/2021 05:13:38,14.795
05/06/2021 05:14:53,14.341
05/06/2021 05:16:15,14.409
05/06/2021 05:17:27,13.795
05/06/2021 05:18:47,16.361
05/06/2021 05:20:06,16.059
05/06/2021 05:21:27,13.893
05/06/2021 05:22:48,14.146
05/06/2021 05:24:07,14.441
05/06/2021 05:25:26,12.692
05/06/2021 05:26:46,16.243
05/06/2021 05:32:15,41.466
05/06/2021 05:33:33,36.367
05/06/2021 05:34:52,38.425
05/06/2021 05:36:15,34.486
05/06/2021 05:37:34,29.848
05/06/2021 05:38:57,14.36
05/06/2021 05:44:28,20.903
05/06/2021 05:45:50,15.863
05/06/2021 05:47:09,15.605
05/06/2021 05:48:26,13.736
05/06/2021 05:49:42,35.483
05/06/2021 05:50:59,152.995
05/06/2021 05:52:11,13.67
05/06/2021 05:53:29,13.816
05/06/2021 05:54:48,15.224
05/06/2021 05:56:02,19.213
05/06/2021 05:57:17,14.966
05/06/2021 06:02:38,33.47
05/06/2021 06:03:54,32.972
05/06/2021 06:09:19,13.868
05/06/2021 06:10:42,14.146
05/06/2021 06:11:56,14.146
05/06/2021 06:13:13,14.386
05/06/2021 06:14:31,13.892
05/06/2021 06:15:46,15.518
05/06/2021 06:17:10,13.768
05/06/2021 06:18:29,13.778
05/06/2021 06:19:45,14.178
05/06/2021 06:21:05,15.6
05/06/2021 06:22:30,15.472
05/06/2021 06:23:49,15.921
05/06/2021 06:29:28,28.024
05/06/2021 06:35:03,14.048
05/06/2021 06:36:21,14.246
05/06/2021 06:37:41,14.08
05/06/2021 06:39:05,14.368
05/06/2021 06:40:24,14.312
05/06/2021 06:41:41,15.796
05/06/2021 06:43:00,14.18
05/06/2021 06:44:20,13.556
05/06/2021 06:45:37,13.81
05/06/2021 06:46:54,18.126
05/06/2021 06:52:20,40.014
05/06/2021 06:53:38,18.543
05/06/2021 06:55:02,94.071
05/06/2021 07:00:31,14.104
05/06/2021 07:01:54,13.826
05/06/2021 07:03:15,14.18
05/06/2021 07:04:37,16.943
05/06/2021 07:10:07,27.75
05/06/2021 07:15:37,14.308
05/06/2021 07:16:59,14.156
05/06/2021 07:18:20,13.868
05/06/2021 07:19:43,14.058
05/06/2021 07:21:06,21.026
05/06/2021 10:01:42,15.314
