date,value
05/06/2021 02:53:58,12.66
05/06/2021 02:54:59,12.888
05/06/2021 02:56:01,12.688
05/06/2021 02:57:06,13.574
05/06/2021 02:58:09,12.888
05/06/2021 02:59:13,12.632
05/06/2021 03:00:17,12.764
05/06/2021 03:01:22,12.588
05/06/2021 03:02:25,72.015
05/06/2021 03:03:28,69.574
05/06/2021 03:04:35,12.764
05/06/2021 03:05:39,12.636
05/06/2021 03:08:47,66.667
05/06/2021 03:09:51,120.568
05/06/2021 03:15:11,120.27
05/06/2021 03:16:20,120.035
05/06/2021 03:17:25,141.136
05/06/2021 03:18:30,166.946
05/06/2021 03:19:36,73.63
05/06/2021 03:24:48,12.96
05/06/2021 03:25:55,12.56
05/06/2021 03:27:05,12.484
05/06/2021 03:28:15,15.297
05/06/2021 03:29:35,12.664
05/06/2021 03:30:50,12.744
05/06/2021 03:32:00,12.688
05/06/2021 03:33:09,12.788
05/06/2021 03:34:20,12.584
05/06/2021 03:35:30,12.636
05/06/2021 03:36:43,15.381
05/06/2021 03:37:55,13.574
05/06/2021 03:39:05,63.624
05/06/2021 03:40:21,112.459
05/06/2021 03:41:31,59.646
05/06/2021 03:42:42,107.493
05/06/2021 03:43:51,124.261
05/06/2021 03:49:10,140.682
05/06/2021 03:50:25,129.72
05/06/2021 03:55:47,13.547
05/06/2021 03:56:57,12.892
05/06/2021 03:58:08,12.664
05/06/2021 03:59:21,12.964
05/06/2021 04:00:32,12.892
05/06/2021 04:01:43,13.982
05/06/2021 04:02:52,15.475
05/06/2021 04:04:05,56.501
05/06/2021 04:05:17,62.879
05/06/2021 04:06:28,111.382
05/06/2021 04:07:39,77.198
05/06/2021 04:13:02,25.604
05/06/2021 04:18:25,12.992
05/06/2021 04:19:40,13.02
05/06/2021 04:20:59,13.02
05/06/2021 04:22:15,15.389
05/06/2021 04:23:30,12.864
05/06/2021 04:24:43,69.35
05/06/2021 04:25:53,111.027
05/06/2021 04:31:13,83.809
05/06/2021 04:32:24,154.196
05/06/2021 04:33:36,26.598
05/06/2021 04:39:02,12.712
05/06/2021 04:40:18,12.764
05/06/2021 04:41:32,16.901
05/06/2021 04:42:57,13.878
05/06/2021 04:44:14,12.888
05/06/2021 04:45:30,64.757
05/06/2021 04:46:48,67.014
05/06/2021 04:52:16,136.533
05/06/2021 04:53:36,136.66
05/06/2021 04:54:50,145.158
05/06/2021 04:56:06,127.354
05/06/2021 04:57:22,80.512
05/06/2021 05:02:48,112.139
05/06/2021 05:08:15,30.753
05/06/2021 05:13:38,13.435
05/06/2021 05:14:53,13.271
05/06/2021 05:16:15,13.363
05/06/2021 05:17:27,12.465
05/06/2021 05:18:47,14.995
05/06/2021 05:20:06,14.377
05/06/2021 05:21:27,12.317
05/06/2021 05:22:48,12.916
05/06/2021 05:24:07,13.295
05/06/2021 05:25:26,11.842
05/06/2021 05:26:46,65.883
05/06/2021 05:32:15,140.937
05/06/2021 05:33:33,145.416
05/06/2021 05:34:52,150.309
05/06/2021 05:36:15,138.512
05/06/2021 05:37:34,77.83399999999999
05/06/2021 05:38:57,67.625
05/06/2021 05:44:28,66.057
05/06/2021 05:45:50,15.576
05/06/2021 05:47:09,15.442
05/06/2021 05:48:26,12.712
05/06/2021 05:49:42,33.961
05/06/2021 05:50:59,144.707
05/06/2021 05:52:11,12.712
05/06/2021 05:53:29,12.916
05/06/2021 05:54:48,13.55
05/06/2021 05:56:02,60.347
05/06/2021 05:57:17,110.484
05/06/2021 06:02:38,120.297
05/06/2021 06:03:54,91.836
05/06/2021 06:09:19,12.788
05/06/2021 06:10:42,12.992
05/06/2021 06:11:56,12.892
05/06/2021 06:13:13,12.816
05/06/2021 06:14:31,12.964
05/06/2021 06:15:46,13.878
05/06/2021 06:17:10,12.72
05/06/2021 06:18:29,12.812
05/06/2021 06:19:45,12.832
05/06/2021 06:21:05,13.771
05/06/2021 06:22:30,55.61
05/06/2021 06:23:49,64.172
05/06/2021 06:29:28,25.832
05/06/2021 06:35:03,13.172
05/06/2021 06:36:21,13.068
05/06/2021 06:37:41,12.964
05/06/2021 06:39:05,12.892
05/06/2021 06:40:24,12.964
05/06/2021 06:41:41,13.906
05/06/2021 06:43:00,12.964
05/06/2021 06:44:20,12.56
05/06/2021 06:45:37,12.688
05/06/2021 06:46:54,122.213
05/06/2021 06:52:20,132.785
05/06/2021 06:53:38,124.243
05/06/2021 06:55:02,89.755
05/06/2021 07:00:31,12.892
05/06/2021 07:01:54,12.888
05/06/2021 07:03:15,12.964
05/06/2021 07:04:37,60.222
05/06/2021 07:10:07,25.528
05/06/2021 07:15:37,13.012
05/06/2021 07:16:59,12.888
05/06/2021 07:18:20,12.812
05/06/2021 07:19:43,12.836
05/06/2021 07:21:06,110.846
05/06/2021 10:01:42,13.674
