date,value
05/01/2021 03:35:48,13.02
05/01/2021 03:36:50,13.83
05/01/2021 03:37:52,13.83
05/01/2021 03:38:55,12.992
05/01/2021 03:39:59,12.892
05/01/2021 03:41:02,113.958
05/01/2021 03:42:06,116.304
05/01/2021 03:43:11,118.896
05/01/2021 03:44:16,105.148
05/01/2021 03:45:21,80.647
05/01/2021 03:50:36,12.816
05/01/2021 03:50:37,13.02
05/01/2021 03:51:42,12.816
05/01/2021 03:51:43,13.02
05/01/2021 03:52:49,12.964
05/01/2021 03:52:49,13.02
05/01/2021 03:58:07,12.964
05/01/2021 03:59:18,71.291
05/01/2021 04:00:26,105.9
05/01/2021 04:01:34,105.9
05/01/2021 04:02:44,104.543
05/01/2021 04:08:00,59.616
05/01/2021 04:08:01,72.234
05/01/2021 04:09:27,65.762
05/01/2021 04:09:28,74.408
05/01/2021 04:10:38,16.144
05/01/2021 04:10:39,66.023
05/01/2021 04:11:49,12.864
05/01/2021 04:11:49,12.992
05/01/2021 04:13:03,16.137
05/01/2021 04:13:04,8.121
05/01/2021 04:18:21,12.892
05/01/2021 04:19:28,12.992
05/01/2021 04:20:34,16.198
05/01/2021 04:21:44,13.04
05/01/2021 04:22:50,12.92
05/01/2021 04:23:57,12.964
05/01/2021 04:25:03,21.038
05/01/2021 04:26:09,62.296
05/01/2021 04:27:16,63.489
05/01/2021 04:28:27,15.213
05/01/2021 04:29:34,14.175
05/01/2021 04:30:40,11.562
05/01/2021 04:31:47,14.058
05/01/2021 04:32:54,12.916
05/01/2021 04:34:01,13.897
05/01/2021 04:35:09,12.736
05/01/2021 04:36:16,12.636
05/01/2021 04:37:24,12.888
05/01/2021 04:38:31,12.636
05/01/2021 04:39:39,12.792
05/01/2021 04:40:45,13.574
05/01/2021 04:41:53,12.484
05/01/2021 04:43:02,7.852
05/01/2021 04:44:11,74.577
05/01/2021 04:48:40,119.335
05/01/2021 04:49:52,83.331
05/01/2021 04:51:01,79.077
05/01/2021 04:52:11,126.004
05/01/2021 04:53:21,76.566
05/01/2021 04:54:29,107.717
05/01/2021 04:56:46,121.638
05/01/2021 04:57:53,63.017
05/01/2021 04:59:02,118.448
05/01/2021 05:00:10,77.975
05/01/2021 05:01:20,15.038
05/01/2021 05:02:28,13.921
05/01/2021 05:03:35,12.588
05/01/2021 05:04:43,12.612
05/01/2021 05:05:51,12.664
05/01/2021 05:07:02,12.712
05/01/2021 05:08:10,13.658
05/01/2021 05:09:18,11.59
05/01/2021 05:10:30,12.736
05/01/2021 05:11:38,12.608
05/01/2021 05:12:46,12.584
05/01/2021 05:13:59,12.668
05/01/2021 05:15:07,12.588
05/01/2021 05:16:16,15.336
05/01/2021 05:17:25,12.56
05/01/2021 05:18:33,12.688
05/01/2021 05:19:42,12.773
05/01/2021 05:20:51,11.524
05/01/2021 05:22:05,115.94
05/01/2021 05:23:17,117.143
05/01/2021 05:24:25,65.374
05/01/2021 05:25:34,64.019
05/01/2021 05:26:50,112.998
05/01/2021 05:28:00,113.912
05/01/2021 05:29:13,105.098
05/01/2021 05:30:24,16.468
05/01/2021 05:31:37,122.978
05/01/2021 05:32:52,108.704
05/01/2021 05:34:06,116.95
05/01/2021 05:35:20,64.444
05/01/2021 05:36:34,58.389
05/01/2021 05:37:44,12.712
05/01/2021 05:38:55,12.612
05/01/2021 05:40:09,16.024
05/01/2021 05:41:20,12.688
05/01/2021 05:42:35,12.512
05/01/2021 05:43:47,12.66
05/01/2021 05:44:58,12.636
05/01/2021 05:46:14,12.588
05/01/2021 05:47:25,12.66
05/01/2021 05:48:42,14.981
05/01/2021 05:49:54,17.779
05/01/2021 05:51:06,14.125
05/01/2021 05:52:18,68.404
05/01/2021 05:53:31,92.886
05/01/2021 05:54:50,63.672
05/01/2021 05:56:02,89.359
05/01/2021 05:57:23,123.352
05/01/2021 05:58:35,115.82
05/01/2021 05:59:45,113.108
05/01/2021 06:00:55,73.22
05/01/2021 06:02:23,65.986
05/01/2021 06:03:39,12.512
05/01/2021 06:04:56,12.66
05/01/2021 06:06:14,12.484
05/01/2021 06:07:31,12.688
05/01/2021 06:08:49,12.788
05/01/2021 06:10:16,12.664
05/01/2021 06:11:33,12.66
05/01/2021 06:12:52,13.586
05/01/2021 06:14:09,111.057
05/01/2021 06:15:34,69.467
05/01/2021 06:16:59,110.161
05/01/2021 06:18:25,107.387
05/01/2021 06:24:01,14.934
05/01/2021 06:24:02,
05/01/2021 06:25:28,13.914
05/01/2021 06:25:29,12.964
05/01/2021 06:26:57,13.658
05/01/2021 06:26:58,13.958
05/01/2021 06:32:30,12.864
05/01/2021 06:34:01,
05/01/2021 06:35:31,12.964
05/01/2021 06:37:00,
05/01/2021 06:38:30,12.864
05/01/2021 06:39:56,9.03
05/01/2021 06:41:31,78.446
05/01/2021 06:43:03,102.953
05/01/2021 06:44:29,110.143
05/01/2021 06:45:59,71.223
05/01/2021 06:51:48,12.584
05/01/2021 06:51:49,11.998
05/01/2021 06:53:22,12.84
05/01/2021 06:53:23,12.992
05/01/2021 06:54:50,12.636
05/01/2021 06:54:50,13.934
05/01/2021 07:00:24,12.864
05/01/2021 07:01:53,12.964
05/01/2021 07:03:21,12.884
05/01/2021 07:06:21,13.021
05/01/2021 07:07:52,13.743
05/01/2021 07:09:26,12.66
05/01/2021 07:11:02,12.736
05/01/2021 07:12:28,12.788
05/01/2021 07:13:51,6.337
05/01/2021 07:15:24,12.66
05/01/2021 07:16:40,12.588
05/01/2021 07:18:04,12.56
05/01/2021 07:19:29,12.989
05/01/2021 07:20:47,12.588
