date,value
05/07/2021 03:38:33,13.532
05/07/2021 03:39:35,13.868
05/07/2021 03:40:37,13.868
05/07/2021 03:41:40,13.654
05/07/2021 03:42:43,13.664
05/07/2021 03:43:50,13.664
05/07/2021 03:44:55,14.008
05/07/2021 03:45:59,16.658
05/07/2021 03:47:04,14.85
05/07/2021 03:48:09,21.028
05/07/2021 03:53:24,37.952
05/07/2021 03:54:32,29.828
05/07/2021 03:59:48,13.984
05/07/2021 04:00:58,13.796
05/07/2021 04:02:04,13.796
05/07/2021 04:03:12,14.074
05/07/2021 04:04:19,18.498
05/07/2021 04:09:35,29.148
05/07/2021 04:14:49,13.958
05/07/2021 04:15:55,13.826
05/07/2021 04:17:00,13.834
05/07/2021 04:18:05,14.286
05/07/2021 04:19:10,13.826
05/07/2021 04:20:15,13.784
05/07/2021 04:21:21,13.858
05/07/2021 04:22:26,15.344
05/07/2021 04:23:31,14.034
05/07/2021 04:24:36,18.802
05/07/2021 04:29:50,27.305
05/07/2021 04:35:04,13.465
05/07/2021 04:36:09,14.396
05/07/2021 04:37:15,13.982
05/07/2021 04:38:19,14.753
05/07/2021 04:39:26,13.243
05/07/2021 04:40:31,14.295
05/07/2021 04:41:35,15.06
05/07/2021 04:42:41,16.576
05/07/2021 04:43:47,13.244
05/07/2021 04:44:52,14.996
05/07/2021 04:50:07,33.736
05/07/2021 04:51:13,35.20699999999999
05/07/2021 04:52:19,36.68
05/07/2021 04:53:28,36.554
05/07/2021 04:54:34,33.86199999999999
05/07/2021 04:59:49,17.877
05/07/2021 05:00:58,15.922
05/07/2021 05:02:08,15.41
05/07/2021 05:03:15,16.334
05/07/2021 05:04:22,16.366
05/07/2021 05:05:32,19.622
05/07/2021 05:10:50,35.873
05/07/2021 05:12:00,29.088
05/07/2021 05:17:19,14.621
05/07/2021 05:18:28,13.906
05/07/2021 05:19:36,14.541
05/07/2021 05:20:44,14.499
05/07/2021 05:21:52,14.499
05/07/2021 05:23:00,16.386
05/07/2021 05:24:13,13.219
05/07/2021 05:25:29,16.488
05/07/2021 05:26:46,17.906
05/07/2021 05:28:01,21.144
05/07/2021 05:33:24,35.511
05/07/2021 05:34:39,33.574
05/07/2021 05:35:53,37.666
05/07/2021 05:37:09,29.99
05/07/2021 05:38:20,33.768
05/07/2021 05:39:30,34.064
05/07/2021 05:40:42,18.816
05/07/2021 05:41:52,35.44
05/07/2021 05:42:58,52.452
05/07/2021 05:44:05,33.592
05/07/2021 05:45:11,33.178
05/07/2021 05:46:19,33.392
05/07/2021 05:51:30,13.816
05/07/2021 05:52:35,13.67
05/07/2021 05:53:40,13.792
05/07/2021 05:54:47,14.098
05/07/2021 05:55:53,15.32
05/07/2021 05:57:00,15.615
05/07/2021 05:58:10,13.704
05/07/2021 05:59:21,16.102
05/07/2021 06:00:33,17.744
05/07/2021 06:05:55,32.896
05/07/2021 06:07:08,34.71
05/07/2021 06:08:19,37.062
05/07/2021 06:09:26,31.268
05/07/2021 06:10:32,33.43
05/07/2021 06:11:38,31.698
05/07/2021 06:16:51,14.494
05/07/2021 06:17:57,17.188
05/07/2021 06:19:05,17.386
05/07/2021 06:20:12,24.341
05/07/2021 06:21:20,28.873
05/07/2021 06:22:27,22.63
05/07/2021 06:23:34,26.704
05/07/2021 06:24:42,27.57
05/07/2021 06:25:49,29.445
05/07/2021 06:26:58,33.108
05/07/2021 06:32:16,47.967
05/07/2021 06:33:28,34.445
05/07/2021 06:34:39,36.518
05/07/2021 06:35:48,37.642
05/07/2021 06:41:04,16.54
05/07/2021 06:42:20,14.288
05/07/2021 06:43:36,15.814
05/07/2021 06:44:52,15.814
05/07/2021 06:46:17,16.118
05/07/2021 06:47:42,14.066
05/07/2021 06:48:59,14.32
05/07/2021 06:50:16,14.066
05/07/2021 06:51:34,23.28
05/07/2021 06:52:55,23.28
05/07/2021 06:54:13,22.116
05/07/2021 06:55:31,18.852
05/07/2021 06:56:50,18.852
05/07/2021 07:02:23,32.252
05/07/2021 07:07:49,13.712
05/07/2021 07:09:22,14.024
05/07/2021 07:10:47,21.414
05/07/2021 07:12:14,14.048
05/07/2021 07:13:41,14.246
05/07/2021 07:15:13,14.265
05/07/2021 07:16:41,14.028
05/07/2021 07:18:08,16.748
05/07/2021 07:20:37,16.517
