date,value
05/07/2021 03:38:33,12.66
05/07/2021 03:39:35,12.788
05/07/2021 03:40:37,12.788
05/07/2021 03:41:40,12.688
05/07/2021 03:42:43,12.66
05/07/2021 03:43:50,12.66
05/07/2021 03:44:55,12.764
05/07/2021 03:45:59,76.419
05/07/2021 03:47:04,54.306
05/07/2021 03:48:09,122.46
05/07/2021 03:53:24,190.394
05/07/2021 03:54:32,28.001
05/07/2021 03:59:48,12.688
05/07/2021 04:00:58,12.584
05/07/2021 04:02:04,12.56
05/07/2021 04:03:12,12.764
05/07/2021 04:04:19,105.156
05/07/2021 04:09:35,26.546
05/07/2021 04:14:49,12.788
05/07/2021 04:15:55,12.888
05/07/2021 04:17:00,12.84
05/07/2021 04:18:05,13.026
05/07/2021 04:19:10,12.888
05/07/2021 04:20:15,12.864
05/07/2021 04:21:21,12.84
05/07/2021 04:22:26,13.878
05/07/2021 04:23:31,12.21
05/07/2021 04:24:36,108.57
05/07/2021 04:29:50,75.429
05/07/2021 04:35:04,12.365
05/07/2021 04:36:09,12.932
05/07/2021 04:37:15,12.92
05/07/2021 04:38:19,13.491
05/07/2021 04:39:26,12.465
05/07/2021 04:40:31,13.059
05/07/2021 04:41:35,14.777
05/07/2021 04:42:41,14.98
05/07/2021 04:43:47,11.818
05/07/2021 04:44:52,61.134
05/07/2021 04:50:07,74.79599999999999
05/07/2021 04:51:13,147.774
05/07/2021 04:52:19,135.52
05/07/2021 04:53:28,168.323
05/07/2021 04:54:34,75.149
05/07/2021 04:59:49,18.266
05/07/2021 05:00:58,15.313
05/07/2021 05:02:08,13.878
05/07/2021 05:03:15,15.497
05/07/2021 05:04:22,61.356
05/07/2021 05:05:32,122.109
05/07/2021 05:10:50,129.412
05/07/2021 05:12:00,26.622
05/07/2021 05:17:19,13.623
05/07/2021 05:18:28,12.992
05/07/2021 05:19:36,13.287
05/07/2021 05:20:44,13.363
05/07/2021 05:21:52,13.363
05/07/2021 05:23:00,14.752
05/07/2021 05:24:13,12.313
05/07/2021 05:25:29,54.449
05/07/2021 05:26:46,99.296
05/07/2021 05:28:01,121.399
05/07/2021 05:33:24,133.245
05/07/2021 05:34:39,140.169
05/07/2021 05:35:53,126.438
05/07/2021 05:37:09,81.87700000000001
05/07/2021 05:38:20,135.834
05/07/2021 05:39:30,146.639
05/07/2021 05:40:42,79.145
05/07/2021 05:41:52,177.801
05/07/2021 05:42:58,179.015
05/07/2021 05:44:05,128.404
05/07/2021 05:45:11,114.039
05/07/2021 05:46:19,86.821
05/07/2021 05:51:30,12.916
05/07/2021 05:52:35,12.712
05/07/2021 05:53:40,12.84
05/07/2021 05:54:47,12.664
05/07/2021 05:55:53,13.902
05/07/2021 05:57:00,14.253
05/07/2021 05:58:10,12.76
05/07/2021 05:59:21,15.373
05/07/2021 06:00:33,67.154
05/07/2021 06:05:55,118.492
05/07/2021 06:07:08,127.997
05/07/2021 06:08:19,172.268
05/07/2021 06:09:26,127.314
05/07/2021 06:10:32,132.333
05/07/2021 06:11:38,77.42
05/07/2021 06:16:51,12.664
05/07/2021 06:17:57,16.176
05/07/2021 06:19:05,15.548
05/07/2021 06:20:12,24.469
05/07/2021 06:21:20,29.489
05/07/2021 06:22:27,24.441
05/07/2021 06:23:34,26.581
05/07/2021 06:24:42,27.919
05/07/2021 06:25:49,82.094
05/07/2021 06:26:58,131.583
05/07/2021 06:32:16,158.045
05/07/2021 06:33:28,125.017
05/07/2021 06:34:39,189.687
05/07/2021 06:35:48,96.232
05/07/2021 06:41:04,15.677
05/07/2021 06:42:20,12.964
05/07/2021 06:43:36,13.83
05/07/2021 06:44:52,13.83
05/07/2021 06:46:17,15.26
05/07/2021 06:47:42,12.944
05/07/2021 06:48:59,12.916
05/07/2021 06:50:16,12.788
05/07/2021 06:51:34,63.979
05/07/2021 06:52:55,74.315
05/07/2021 06:54:13,113.065
05/07/2021 06:55:31,110.702
05/07/2021 06:56:50,110.702
05/07/2021 07:02:23,31.773
05/07/2021 07:07:49,12.636
05/07/2021 07:09:22,12.864
05/07/2021 07:10:47,18.254
05/07/2021 07:12:14,12.864
05/07/2021 07:13:41,12.964
05/07/2021 07:15:13,13.507
05/07/2021 07:16:41,13.052
05/07/2021 07:18:08,15.693
05/07/2021 07:20:37,64.787
